employee_id,personality_type,work_style,seniority,technical_skill,communication_skill,leadership_skill,years_experience,collaboration_score
EMP0352,Expressive,Collaborative,Junior,64.7,43.8,36.1,2.3,68.8
EMP0353,Analytical,Independent,Senior,64.9,79.7,35.9,1.7,62.0
EMP0354,Driver,Structured,Junior,75.6,53.5,47.2,2.0,58.2
EMP0355,Expressive,Flexible,Mid,59.2,74.7,26.3,3.6,45.1
EMP0356,Analytical,Flexible,Mid,60.8,58.4,22.9,5.4,46.7
EMP0357,Expressive,Flexible,Junior,33.4,74.2,53.2,5.6,88.7
EMP0358,Expressive,Flexible,Mid,47.8,77.6,37.0,4.5,53.7
EMP0359,Amiable,Independent,Lead,48.5,79.7,39.7,4.1,81.3
EMP0360,Analytical,Flexible,Junior,52.0,65.5,46.2,4.2,79.0
EMP0361,Expressive,Structured,Senior,75.5,86.3,23.3,2.4,81.5
EMP0362,Analytical,Independent,Lead,81.0,50.3,57.9,2.8,76.8
EMP0363,Driver,Independent,Mid,63.6,36.6,37.8,8.1,80.4
EMP0364,Expressive,Independent,Junior,46.2,70.2,30.4,6.5,85.2
EMP0365,Driver,Flexible,Lead,91.4,52.9,77.1,4.5,61.1
EMP0366,Amiable,Structured,Senior,47.3,91.9,45.5,3.2,78.1
EMP0367,Driver,Flexible,Senior,51.4,88.8,85.0,2.9,85.0
EMP0368,Amiable,Independent,Senior,43.9,56.0,31.5,2.6,75.1
EMP0369,Amiable,Structured,Lead,95.2,84.3,75.1,5.8,58.1
EMP0370,Amiable,Structured,Mid,67.6,65.4,23.3,3.2,62.3
EMP0371,Expressive,Independent,Mid,76.3,60.4,48.4,2.0,61.5
EMP0372,Driver,Structured,Junior,84.1,73.5,74.1,5.9,72.8
EMP0373,Amiable,Flexible,Lead,74.2,54.4,67.4,11.5,62.2
EMP0374,Expressive,Flexible,Mid,62.9,70.5,15.8,4.3,67.8
EMP0375,Analytical,Flexible,Junior,46.2,35.7,48.8,3.7,50.2
EMP0376,Analytical,Structured,Mid,87.6,52.5,55.3,0.6,68.1
EMP0377,Expressive,Structured,Manager,50.0,68.2,49.5,9.2,35.7
EMP0378,Analytical,Flexible,Junior,82.1,77.8,34.0,3.8,65.1
EMP0379,Analytical,Flexible,Junior,49.3,78.2,44.5,2.2,79.6
EMP0380,Amiable,Independent,Mid,69.6,61.7,18.9,2.4,58.8
EMP0381,Driver,Structured,Mid,76.6,89.0,53.7,2.8,69.0
EMP0382,Amiable,Flexible,Junior,57.9,19.9,25.7,0.8,45.0
EMP0383,Analytical,Collaborative,Senior,50.5,53.3,29.6,6.3,84.9
EMP0384,Expressive,Collaborative,Junior,64.5,83.8,69.0,3.3,78.7
EMP0385,Expressive,Flexible,Mid,90.6,68.5,59.1,3.5,57.1
EMP0386,Amiable,Independent,Junior,59.5,79.8,62.3,2.3,52.8
EMP0387,Analytical,Collaborative,Junior,56.7,80.2,64.1,1.9,50.5
EMP0388,Driver,Structured,Senior,84.8,49.9,70.3,3.3,50.2
EMP0389,Analytical,Flexible,Senior,90.2,67.2,33.6,0.4,54.6
EMP0390,Analytical,Collaborative,Mid,51.2,58.0,53.4,1.4,93.4
EMP0391,Analytical,Flexible,Manager,80.3,42.2,59.2,2.4,66.0
EMP0392,Analytical,Collaborative,Junior,84.1,59.8,40.2,5.5,54.5
EMP0393,Amiable,Structured,Junior,50.5,56.1,45.7,5.3,85.2
EMP0394,Expressive,Flexible,Junior,69.7,58.2,47.2,6.8,81.6
EMP0395,Amiable,Flexible,Junior,76.5,80.7,24.4,4.5,67.6
EMP0396,Driver,Flexible,Junior,76.1,77.8,64.0,8.6,57.2
EMP0397,Driver,Flexible,Senior,77.8,90.4,21.3,2.5,60.6
EMP0398,Driver,Collaborative,Senior,67.2,47.3,41.2,2.1,61.3
EMP0399,Analytical,Structured,Junior,39.9,50.2,46.9,5.1,93.2
EMP0400,Amiable,Structured,Senior,62.8,38.7,55.9,7.7,59.0
EMP0401,Expressive,Independent,Senior,82.7,28.6,53.0,2.8,74.3
EMP0402,Expressive,Structured,Junior,78.7,86.2,32.8,11.1,73.4
EMP0403,Amiable,Collaborative,Junior,70.1,66.1,71.4,6.3,82.5
EMP0404,Amiable,Flexible,Junior,80.8,62.1,28.4,2.7,52.8
EMP0405,Expressive,Structured,Mid,76.8,78.8,70.9,2.8,37.0
EMP0406,Amiable,Flexible,Mid,65.4,94.0,58.4,1.8,74.9
EMP0407,Expressive,Collaborative,Senior,75.1,87.8,61.6,3.0,80.1
EMP0408,Driver,Flexible,Junior,77.4,79.5,25.9,6.6,77.3
EMP0409,Driver,Flexible,Mid,37.7,84.0,30.9,1.5,78.1
EMP0410,Analytical,Structured,Mid,82.3,71.0,40.6,3.9,86.0
EMP0411,Amiable,Flexible,Junior,61.5,87.8,56.3,3.5,79.0
EMP0412,Amiable,Collaborative,Mid,64.2,59.2,59.6,6.2,37.4
EMP0413,Amiable,Independent,Senior,41.8,70.4,27.5,0.3,46.9
EMP0414,Driver,Structured,Senior,81.5,54.9,49.5,1.3,47.5
EMP0415,Analytical,Flexible,Lead,82.8,90.8,49.7,7.2,20.8
EMP0416,Analytical,Flexible,Senior,70.1,78.7,84.0,1.5,68.1
EMP0417,Analytical,Collaborative,Senior,92.4,90.4,25.4,4.5,70.4
EMP0418,Amiable,Collaborative,Mid,75.7,63.1,48.8,0.9,64.4
EMP0419,Analytical,Flexible,Mid,34.5,52.4,42.2,3.3,40.8
EMP0420,Expressive,Structured,Senior,65.6,67.3,56.8,8.3,88.4
EMP0421,Amiable,Independent,Lead,38.2,62.7,49.6,2.4,88.5
EMP0422,Expressive,Flexible,Mid,68.2,66.4,39.0,2.1,75.2
EMP0423,Expressive,Flexible,Lead,65.2,31.3,39.4,5.3,48.3
EMP0424,Analytical,Independent,Mid,32.5,53.8,22.9,7.4,40.4
EMP0425,Driver,Structured,Junior,29.4,58.3,48.4,4.7,71.8
EMP0426,Driver,Independent,Junior,63.6,62.1,57.2,6.0,86.0
EMP0427,Amiable,Independent,Junior,72.2,74.1,34.2,13.4,57.0
EMP0428,Analytical,Flexible,Senior,51.7,36.3,65.9,7.3,98.1
EMP0429,Driver,Structured,Mid,76.7,84.2,35.2,1.9,71.4
EMP0430,Analytical,Independent,Junior,70.0,30.4,71.5,5.8,60.5
EMP0431,Expressive,Independent,Senior,69.6,35.4,48.3,3.0,79.6
EMP0432,Expressive,Structured,Senior,73.9,34.2,26.6,4.8,76.1
EMP0433,Expressive,Flexible,Senior,74.4,70.4,14.7,3.0,59.9
EMP0434,Driver,Collaborative,Mid,56.4,55.6,58.1,4.1,41.0
EMP0435,Amiable,Collaborative,Junior,66.2,41.1,23.6,1.1,41.1
EMP0436,Driver,Collaborative,Mid,58.9,32.6,66.5,5.2,70.1
EMP0437,Analytical,Flexible,Junior,51.9,56.1,45.1,7.6,83.4
EMP0438,Driver,Flexible,Junior,41.9,77.3,41.5,3.3,51.6
EMP0439,Driver,Collaborative,Mid,42.0,62.6,47.1,4.9,56.0
EMP0440,Amiable,Structured,Junior,69.2,72.1,35.2,3.6,79.1
EMP0441,Amiable,Structured,Mid,54.3,81.6,39.9,4.6,74.5
EMP0442,Analytical,Flexible,Junior,51.6,42.1,57.9,1.9,65.1
EMP0443,Expressive,Collaborative,Mid,60.6,78.8,52.3,7.5,56.5
EMP0444,Analytical,Flexible,Junior,90.0,44.3,24.3,1.7,56.0
EMP0445,Expressive,Structured,Junior,92.5,61.6,50.0,1.4,62.7
EMP0446,Amiable,Structured,Manager,55.4,75.8,63.2,1.9,73.7
EMP0447,Amiable,Structured,Junior,35.1,68.0,17.4,7.3,80.9
EMP0448,Driver,Flexible,Junior,40.9,67.8,66.7,6.9,85.8
EMP0449,Amiable,Independent,Mid,59.4,51.2,69.1,1.3,63.7
EMP0450,Driver,Flexible,Mid,81.1,46.3,35.4,6.1,58.0
EMP0451,Expressive,Structured,Mid,67.0,34.6,46.5,2.8,44.9
EMP0452,Expressive,Independent,Mid,88.3,56.9,26.2,2.4,75.2
EMP0453,Amiable,Structured,Manager,42.4,57.1,23.0,2.6,81.9
EMP0454,Analytical,Independent,Manager,90.7,65.2,38.7,5.4,75.5
EMP0455,Amiable,Structured,Junior,46.7,50.1,37.2,8.1,52.9
EMP0456,Driver,Structured,Mid,35.9,77.5,38.6,2.0,50.6
EMP0457,Driver,Collaborative,Mid,70.9,29.3,52.8,2.8,52.9
EMP0458,Expressive,Collaborative,Junior,40.7,71.8,40.4,4.4,60.3
EMP0459,Analytical,Independent,Senior,73.9,57.0,60.8,2.0,94.4
EMP0460,Expressive,Flexible,Mid,71.5,73.5,35.9,5.5,70.6
EMP0461,Analytical,Structured,Mid,96.8,63.5,40.9,2.7,69.5
EMP0462,Driver,Independent,Senior,85.0,58.9,43.5,3.4,71.1
EMP0463,Expressive,Structured,Mid,87.9,54.1,36.2,7.9,70.0
EMP0464,Amiable,Collaborative,Mid,69.2,68.9,36.4,7.6,37.1
EMP0465,Driver,Collaborative,Mid,66.8,38.3,56.0,1.8,69.3
EMP0466,Expressive,Structured,Junior,80.0,72.6,18.1,3.4,34.8
EMP0467,Driver,Structured,Mid,64.5,79.8,31.8,4.8,46.8
EMP0468,Amiable,Structured,Mid,41.3,60.4,26.0,4.6,54.6
EMP0469,Expressive,Independent,Senior,65.2,66.3,19.8,10.8,75.2
EMP0470,Amiable,Independent,Senior,45.2,54.2,26.7,11.8,92.6
EMP0471,Driver,Collaborative,Mid,51.5,26.6,61.3,2.7,77.4
EMP0472,Amiable,Structured,Junior,32.6,62.8,26.0,3.0,62.1
EMP0473,Analytical,Flexible,Mid,48.4,59.2,10.0,5.1,89.0
EMP0474,Analytical,Structured,Mid,50.0,46.6,20.0,5.2,77.7
EMP0475,Analytical,Flexible,Mid,71.3,58.2,36.9,2.7,57.1
EMP0476,Expressive,Structured,Junior,52.0,82.9,33.8,3.5,62.5
EMP0477,Amiable,Structured,Mid,66.4,59.0,46.1,3.5,84.7
EMP0478,Analytical,Collaborative,Junior,67.7,73.9,54.1,2.9,48.2
EMP0479,Amiable,Independent,Senior,59.1,8.0,41.3,8.0,63.4
EMP0480,Expressive,Collaborative,Lead,42.9,74.1,42.4,5.5,65.9
EMP0481,Analytical,Flexible,Junior,33.1,69.0,76.9,3.9,73.5
EMP0482,Expressive,Flexible,Junior,61.4,54.3,58.2,5.5,77.1
EMP0483,Analytical,Collaborative,Mid,98.9,56.1,58.6,9.1,53.6
EMP0484,Analytical,Independent,Mid,75.4,48.9,64.1,4.7,67.4
EMP0485,Expressive,Flexible,Junior,64.1,57.4,60.4,1.2,61.7
EMP0486,Analytical,Independent,Mid,71.9,80.0,14.2,12.1,78.0
EMP0487,Driver,Collaborative,Mid,49.5,73.2,56.3,8.7,67.0
EMP0488,Amiable,Flexible,Junior,89.0,45.9,64.5,3.4,50.8
EMP0489,Expressive,Flexible,Mid,46.8,43.4,36.0,4.2,84.4
EMP0490,Driver,Flexible,Lead,54.2,79.2,52.9,3.0,68.1
EMP0491,Analytical,Flexible,Junior,76.0,74.5,50.9,14.7,90.4
EMP0492,Amiable,Structured,Mid,60.1,63.6,40.9,7.6,96.3
EMP0493,Analytical,Structured,Mid,91.3,83.4,42.7,5.2,73.4
EMP0494,Driver,Flexible,Junior,71.6,67.3,51.3,4.5,41.2
EMP0495,Amiable,Collaborative,Junior,64.6,78.7,67.1,4.9,87.5
EMP0496,Expressive,Independent,Mid,53.2,76.7,56.4,2.7,92.6
EMP0497,Expressive,Structured,Mid,67.2,45.6,23.3,9.5,44.4
EMP0498,Analytical,Flexible,Mid,57.7,46.3,32.8,5.6,60.5
EMP0499,Expressive,Collaborative,Senior,81.1,64.5,66.4,3.4,40.9
EMP0500,Analytical,Flexible,Junior,66.3,81.2,25.3,10.8,53.5
