interaction_id,team_id,employee_1,employee_2,interaction_type,date,duration_minutes,quality_score
INT000333,TEAM005,EMP0409,EMP0016,Meeting,2025-08-26,30,7.7
INT000334,TEAM005,EMP0409,EMP0016,Brainstorming,2025-07-02,4,7.9
INT000335,TEAM005,EMP0409,EMP0016,Mentoring,2025-05-13,44,4.2
INT000336,TEAM005,EMP0430,EMP0292,Meeting,2025-09-23,46,8.0
INT000337,TEAM005,EMP0430,EMP0292,Collaboration,2025-10-14,20,7.8
INT000338,TEAM005,EMP0430,EMP0292,Code Review,2025-09-30,20,6.7
INT000339,TEAM005,EMP0430,EMP0292,Collaboration,2025-09-19,8,8.5
INT000340,TEAM005,EMP0430,EMP0292,Pair Programming,2025-06-26,13,6.2
INT000341,TEAM005,EMP0430,EMP0292,Pair Programming,2025-08-09,12,7.4
INT000342,TEAM005,EMP0430,EMP0292,Meeting,2025-07-29,60,8.5
INT000343,TEAM005,EMP0430,EMP0292,Discussion,2025-08-04,26,6.1
INT000344,TEAM005,EMP0430,EMP0292,Collaboration,2025-07-13,5,7.6
INT000345,TEAM005,EMP0430,EMP0016,Code Review,2025-05-13,87,8.4
INT000346,TEAM005,EMP0430,EMP0016,Mentoring,2025-08-23,18,8.6
INT000347,TEAM005,EMP0430,EMP0016,Mentoring,2025-10-18,65,8.6
INT000348,TEAM005,EMP0430,EMP0016,Brainstorming,2025-05-25,9,5.7
INT000349,TEAM005,EMP0430,EMP0016,Meeting,2025-10-30,59,7.0
INT000350,TEAM005,EMP0430,EMP0016,Discussion,2025-07-27,8,5.5
INT000351,TEAM005,EMP0292,EMP0016,Meeting,2025-07-09,30,8.1
INT000352,TEAM005,EMP0292,EMP0016,Meeting,2025-05-28,32,9.4
INT000353,TEAM005,EMP0292,EMP0016,Code Review,2025-05-12,17,7.6
INT000354,TEAM006,EMP0459,EMP0252,Mentoring,2025-07-19,67,5.7
INT000355,TEAM006,EMP0459,EMP0252,Collaboration,2025-08-15,9,6.6
INT000356,TEAM006,EMP0459,EMP0252,Collaboration,2025-10-14,16,5.2
INT000357,TEAM006,EMP0459,EMP0252,Code Review,2025-10-28,21,7.5
INT000358,TEAM006,EMP0459,EMP0252,Brainstorming,2025-09-14,2,8.5
INT000359,TEAM006,EMP0459,EMP0252,Collaboration,2025-05-14,9,8.2
INT000360,TEAM006,EMP0459,EMP0252,Pair Programming,2025-07-09,29,6.3
INT000361,TEAM006,EMP0459,EMP0252,Meeting,2025-10-27,34,5.7
INT000362,TEAM006,EMP0459,EMP0252,Pair Programming,2025-05-16,22,9.2
INT000363,TEAM006,EMP0459,EMP0341,Code Review,2025-10-30,86,5.4
INT000364,TEAM006,EMP0459,EMP0341,Meeting,2025-08-19,59,6.5
INT000365,TEAM006,EMP0459,EMP0341,Collaboration,2025-09-15,23,5.5
INT000366,TEAM006,EMP0252,EMP0223,Meeting,2025-07-29,48,8.7
INT000367,TEAM006,EMP0252,EMP0223,Code Review,2025-08-23,26,7.5
INT000368,TEAM006,EMP0252,EMP0223,Code Review,2025-06-16,109,6.1
INT000369,TEAM006,EMP0252,EMP0223,Brainstorming,2025-06-15,2,6.3
INT000370,TEAM007,EMP0025,EMP0138,Brainstorming,2025-08-01,9,6.3
INT000371,TEAM007,EMP0025,EMP0138,Brainstorming,2025-10-03,2,6.5
INT000372,TEAM007,EMP0025,EMP0138,Mentoring,2025-05-15,38,6.4
INT000373,TEAM007,EMP0025,EMP0138,Collaboration,2025-10-18,16,6.6
INT000374,TEAM007,EMP0025,EMP0138,Meeting,2025-08-11,42,7.7
INT000375,TEAM007,EMP0025,EMP0138,Discussion,2025-10-13,4,9.3
INT000376,TEAM007,EMP0025,EMP0222,Pair Programming,2025-10-19,22,8.1
INT000377,TEAM007,EMP0025,EMP0222,Brainstorming,2025-06-06,12,7.3
INT000378,TEAM007,EMP0025,EMP0222,Collaboration,2025-06-03,13,5.3
INT000379,TEAM007,EMP0025,EMP0222,Brainstorming,2025-07-29,3,6.7
INT000380,TEAM007,EMP0025,EMP0222,Meeting,2025-08-16,71,6.4
INT000381,TEAM007,EMP0025,EMP0222,Pair Programming,2025-05-29,32,7.7
INT000382,TEAM007,EMP0025,EMP0288,Pair Programming,2025-09-10,14,8.9
INT000383,TEAM007,EMP0025,EMP0288,Discussion,2025-06-19,4,5.9
INT000384,TEAM007,EMP0025,EMP0288,Code Review,2025-07-20,34,8.5
INT000385,TEAM007,EMP0025,EMP0288,Collaboration,2025-05-17,4,7.6
INT000386,TEAM007,EMP0025,EMP0196,Pair Programming,2025-06-02,23,8.4
INT000387,TEAM007,EMP0025,EMP0196,Mentoring,2025-09-05,25,7.3
INT000388,TEAM007,EMP0025,EMP0196,Meeting,2025-10-20,25,7.2
INT000389,TEAM007,EMP0025,EMP0196,Code Review,2025-08-31,90,9.0
INT000390,TEAM007,EMP0025,EMP0196,Mentoring,2025-08-02,40,6.9
INT000391,TEAM007,EMP0025,EMP0196,Code Review,2025-05-29,64,7.3
INT000392,TEAM007,EMP0025,EMP0196,Pair Programming,2025-07-31,8,6.5
INT000393,TEAM007,EMP0025,EMP0196,Meeting,2025-08-07,12,5.5
INT000394,TEAM007,EMP0025,EMP0360,Discussion,2025-08-21,13,5.4
INT000395,TEAM007,EMP0025,EMP0360,Brainstorming,2025-08-07,17,6.8
INT000396,TEAM007,EMP0025,EMP0360,Meeting,2025-08-30,60,5.9
INT000397,TEAM007,EMP0025,EMP0360,Meeting,2025-10-05,92,7.5
INT000398,TEAM007,EMP0025,EMP0360,Discussion,2025-09-21,7,6.9
INT000399,TEAM007,EMP0025,EMP0360,Collaboration,2025-07-16,13,8.8
INT000400,TEAM007,EMP0025,EMP0468,Meeting,2025-07-26,38,8.7
INT000401,TEAM007,EMP0025,EMP0468,Meeting,2025-11-01,23,7.1
INT000402,TEAM007,EMP0025,EMP0468,Collaboration,2025-08-09,17,8.4
INT000403,TEAM007,EMP0138,EMP0222,Brainstorming,2025-06-07,36,5.9
INT000404,TEAM007,EMP0138,EMP0222,Brainstorming,2025-08-16,24,6.8
INT000405,TEAM007,EMP0138,EMP0222,Meeting,2025-08-01,48,7.7
INT000406,TEAM007,EMP0138,EMP0222,Discussion,2025-08-25,19,7.3
INT000407,TEAM007,EMP0138,EMP0222,Brainstorming,2025-07-31,19,7.5
INT000408,TEAM007,EMP0138,EMP0222,Mentoring,2025-10-17,6,7.1
INT000409,TEAM007,EMP0138,EMP0222,Code Review,2025-06-17,67,5.2
INT000410,TEAM007,EMP0138,EMP0222,Collaboration,2025-06-14,4,7.3
INT000411,TEAM007,EMP0138,EMP0222,Mentoring,2025-09-25,4,6.0
INT000412,TEAM007,EMP0138,EMP0028,Pair Programming,2025-10-03,8,6.0
INT000413,TEAM007,EMP0138,EMP0028,Pair Programming,2025-08-22,7,6.2
INT000414,TEAM007,EMP0138,EMP0028,Code Review,2025-07-04,26,5.5
INT000415,TEAM007,EMP0138,EMP0028,Code Review,2025-10-22,17,7.4
INT000416,TEAM007,EMP0138,EMP0288,Pair Programming,2025-07-23,8,8.3
INT000417,TEAM007,EMP0138,EMP0288,Brainstorming,2025-07-07,14,8.0
INT000418,TEAM007,EMP0138,EMP0288,Pair Programming,2025-10-19,3,5.6
INT000419,TEAM007,EMP0138,EMP0345,Mentoring,2025-09-05,143,5.7
INT000420,TEAM007,EMP0138,EMP0345,Discussion,2025-05-31,10,5.9
INT000421,TEAM007,EMP0138,EMP0345,Collaboration,2025-06-08,7,4.8
INT000422,TEAM007,EMP0138,EMP0345,Discussion,2025-09-18,10,7.6
INT000423,TEAM007,EMP0138,EMP0345,Code Review,2025-10-11,35,5.9
INT000424,TEAM007,EMP0138,EMP0196,Pair Programming,2025-07-29,3,9.0
INT000425,TEAM007,EMP0138,EMP0196,Discussion,2025-06-02,14,9.2
INT000426,TEAM007,EMP0138,EMP0468,Discussion,2025-08-14,14,6.6
INT000427,TEAM007,EMP0138,EMP0468,Collaboration,2025-05-25,2,3.5
INT000428,TEAM007,EMP0138,EMP0468,Pair Programming,2025-10-04,13,8.2
INT000429,TEAM007,EMP0138,EMP0468,Collaboration,2025-08-17,5,8.3
INT000430,TEAM007,EMP0138,EMP0468,Code Review,2025-05-14,73,4.7
INT000431,TEAM007,EMP0138,EMP0468,Pair Programming,2025-07-08,41,8.0
INT000432,TEAM007,EMP0138,EMP0468,Discussion,2025-09-23,18,8.1
INT000433,TEAM007,EMP0138,EMP0468,Pair Programming,2025-08-18,36,5.6
INT000434,TEAM007,EMP0222,EMP0360,Brainstorming,2025-08-28,28,8.7
INT000435,TEAM007,EMP0222,EMP0360,Pair Programming,2025-07-30,11,7.2
INT000436,TEAM007,EMP0222,EMP0360,Collaboration,2025-10-09,10,6.8
INT000437,TEAM007,EMP0222,EMP0360,Collaboration,2025-09-17,3,5.8
INT000438,TEAM007,EMP0222,EMP0360,Code Review,2025-06-21,46,7.5
INT000439,TEAM007,EMP0222,EMP0360,Brainstorming,2025-05-17,6,6.4
INT000440,TEAM007,EMP0222,EMP0468,Mentoring,2025-07-12,37,8.8
INT000441,TEAM007,EMP0222,EMP0468,Discussion,2025-09-15,36,8.7
INT000442,TEAM007,EMP0222,EMP0468,Brainstorming,2025-08-25,26,6.3
INT000443,TEAM007,EMP0222,EMP0468,Meeting,2025-05-14,124,7.7
INT000444,TEAM007,EMP0222,EMP0468,Mentoring,2025-07-26,71,7.2
INT000445,TEAM007,EMP0028,EMP0288,Pair Programming,2025-05-29,4,5.5
INT000446,TEAM007,EMP0028,EMP0288,Pair Programming,2025-09-07,21,3.8
INT000447,TEAM007,EMP0028,EMP0288,Code Review,2025-05-23,81,8.5
INT000448,TEAM007,EMP0028,EMP0288,Brainstorming,2025-07-22,8,8.5
INT000449,TEAM007,EMP0028,EMP0345,Collaboration,2025-07-16,15,7.3
INT000450,TEAM007,EMP0028,EMP0345,Collaboration,2025-07-08,8,7.3
INT000451,TEAM007,EMP0028,EMP0345,Collaboration,2025-07-28,23,6.2
INT000452,TEAM007,EMP0028,EMP0345,Brainstorming,2025-07-01,18,5.5
INT000453,TEAM007,EMP0028,EMP0345,Discussion,2025-05-14,17,8.2
INT000454,TEAM007,EMP0028,EMP0345,Meeting,2025-06-21,53,5.4
INT000455,TEAM007,EMP0028,EMP0345,Mentoring,2025-08-07,15,7.3
INT000456,TEAM007,EMP0028,EMP0360,Meeting,2025-05-28,45,6.4
INT000457,TEAM007,EMP0028,EMP0360,Brainstorming,2025-10-11,4,6.9
INT000458,TEAM007,EMP0028,EMP0360,Mentoring,2025-09-05,96,7.4
INT000459,TEAM007,EMP0028,EMP0360,Pair Programming,2025-05-21,2,7.3
INT000460,TEAM007,EMP0028,EMP0360,Mentoring,2025-09-26,42,7.2
INT000461,TEAM007,EMP0028,EMP0360,Meeting,2025-06-04,38,7.4
INT000462,TEAM007,EMP0028,EMP0360,Mentoring,2025-06-16,31,8.7
INT000463,TEAM007,EMP0288,EMP0345,Brainstorming,2025-08-15,10,6.1
INT000464,TEAM007,EMP0288,EMP0345,Meeting,2025-07-20,48,6.2
INT000465,TEAM007,EMP0288,EMP0345,Meeting,2025-11-05,35,7.9
INT000466,TEAM007,EMP0288,EMP0196,Mentoring,2025-06-30,55,6.5
INT000467,TEAM007,EMP0288,EMP0196,Collaboration,2025-06-28,7,8.3
INT000468,TEAM007,EMP0288,EMP0196,Mentoring,2025-06-12,29,8.7
INT000469,TEAM007,EMP0288,EMP0360,Pair Programming,2025-07-16,16,7.2
INT000470,TEAM007,EMP0288,EMP0360,Discussion,2025-07-30,46,8.1
INT000471,TEAM007,EMP0288,EMP0360,Collaboration,2025-05-18,4,9.7
INT000472,TEAM007,EMP0288,EMP0360,Collaboration,2025-05-15,33,8.3
INT000473,TEAM007,EMP0288,EMP0360,Pair Programming,2025-09-30,27,7.4
INT000474,TEAM007,EMP0288,EMP0360,Discussion,2025-11-01,14,7.8
INT000475,TEAM007,EMP0288,EMP0360,Pair Programming,2025-10-12,5,6.1
INT000476,TEAM007,EMP0288,EMP0360,Meeting,2025-07-24,15,6.2
INT000477,TEAM007,EMP0288,EMP0360,Brainstorming,2025-10-09,21,7.6
INT000478,TEAM007,EMP0345,EMP0196,Pair Programming,2025-08-20,24,8.1
INT000479,TEAM007,EMP0345,EMP0196,Brainstorming,2025-07-14,27,5.8
INT000480,TEAM007,EMP0345,EMP0196,Collaboration,2025-09-16,15,5.8
INT000481,TEAM007,EMP0345,EMP0196,Pair Programming,2025-07-07,61,8.1
INT000482,TEAM007,EMP0345,EMP0360,Mentoring,2025-07-18,57,7.2
INT000483,TEAM007,EMP0345,EMP0360,Discussion,2025-05-13,19,7.3
INT000484,TEAM007,EMP0345,EMP0468,Meeting,2025-08-23,13,9.7
INT000485,TEAM007,EMP0345,EMP0468,Meeting,2025-10-09,29,9.7
INT000486,TEAM007,EMP0345,EMP0468,Mentoring,2025-08-12,48,7.0
INT000487,TEAM007,EMP0345,EMP0468,Mentoring,2025-10-11,65,7.1
INT000488,TEAM008,EMP0446,EMP0072,Code Review,2025-06-19,58,6.8
INT000489,TEAM008,EMP0446,EMP0072,Collaboration,2025-08-15,10,5.9
INT000490,TEAM008,EMP0446,EMP0072,Discussion,2025-07-21,16,5.6
INT000491,TEAM008,EMP0446,EMP0072,Brainstorming,2025-09-09,18,7.5
INT000492,TEAM008,EMP0446,EMP0072,Mentoring,2025-07-27,23,6.1
INT000493,TEAM008,EMP0446,EMP0072,Code Review,2025-09-21,54,8.9
INT000494,TEAM008,EMP0446,EMP0443,Mentoring,2025-10-31,36,7.4
INT000495,TEAM008,EMP0446,EMP0443,Code Review,2025-06-03,17,7.6
INT000496,TEAM008,EMP0446,EMP0443,Collaboration,2025-07-15,9,7.3
INT000497,TEAM008,EMP0446,EMP0443,Discussion,2025-07-21,18,7.9
INT000498,TEAM008,EMP0446,EMP0443,Mentoring,2025-11-06,66,5.1
INT000499,TEAM008,EMP0446,EMP0443,Code Review,2025-09-14,28,5.6
INT000500,TEAM008,EMP0446,EMP0443,Brainstorming,2025-08-28,12,8.5
INT000501,TEAM008,EMP0446,EMP0443,Brainstorming,2025-05-11,4,6.0
INT000502,TEAM008,EMP0446,EMP0443,Collaboration,2025-10-22,10,4.6
INT000503,TEAM008,EMP0446,EMP0473,Code Review,2025-06-23,18,6.8
INT000504,TEAM008,EMP0446,EMP0473,Pair Programming,2025-08-06,13,6.5
INT000505,TEAM008,EMP0446,EMP0473,Discussion,2025-09-18,1,9.0
INT000506,TEAM008,EMP0446,EMP0473,Pair Programming,2025-10-09,13,5.6
INT000507,TEAM008,EMP0446,EMP0473,Brainstorming,2025-05-20,24,5.0
INT000508,TEAM008,EMP0446,EMP0473,Collaboration,2025-07-05,22,6.1
INT000509,TEAM008,EMP0072,EMP0417,Collaboration,2025-07-31,3,6.6
INT000510,TEAM008,EMP0072,EMP0417,Collaboration,2025-07-30,20,8.9
INT000511,TEAM008,EMP0072,EMP0417,Pair Programming,2025-10-09,1,8.3
INT000512,TEAM008,EMP0072,EMP0417,Brainstorming,2025-08-09,12,7.0
INT000513,TEAM008,EMP0072,EMP0443,Brainstorming,2025-09-24,16,8.0
INT000514,TEAM008,EMP0072,EMP0443,Mentoring,2025-05-19,6,5.8
INT000515,TEAM008,EMP0072,EMP0443,Collaboration,2025-08-23,15,7.7
INT000516,TEAM008,EMP0072,EMP0443,Meeting,2025-06-09,41,6.2
INT000517,TEAM008,EMP0072,EMP0443,Code Review,2025-05-19,12,7.5
INT000518,TEAM008,EMP0072,EMP0443,Meeting,2025-08-19,55,5.5
INT000519,TEAM008,EMP0072,EMP0473,Code Review,2025-10-09,58,6.5
INT000520,TEAM008,EMP0072,EMP0473,Mentoring,2025-08-04,12,8.0
INT000521,TEAM008,EMP0072,EMP0473,Collaboration,2025-10-02,9,5.4
INT000522,TEAM008,EMP0072,EMP0473,Discussion,2025-07-31,20,6.5
INT000523,TEAM008,EMP0072,EMP0473,Code Review,2025-06-08,21,6.4
INT000524,TEAM008,EMP0072,EMP0473,Discussion,2025-06-13,11,6.0
INT000525,TEAM008,EMP0072,EMP0473,Code Review,2025-07-22,52,7.5
INT000526,TEAM008,EMP0072,EMP0216,Mentoring,2025-06-23,51,8.1
INT000527,TEAM008,EMP0072,EMP0216,Code Review,2025-05-26,51,8.2
INT000528,TEAM008,EMP0072,EMP0216,Code Review,2025-06-18,8,8.2
INT000529,TEAM008,EMP0072,EMP0216,Pair Programming,2025-07-05,9,6.4
INT000530,TEAM008,EMP0072,EMP0216,Code Review,2025-10-03,58,6.2
INT000531,TEAM008,EMP0072,EMP0216,Brainstorming,2025-08-19,19,8.3
INT000532,TEAM008,EMP0417,EMP0443,Brainstorming,2025-10-25,22,4.8
INT000533,TEAM008,EMP0417,EMP0443,Meeting,2025-08-08,27,5.4
INT000534,TEAM008,EMP0417,EMP0443,Code Review,2025-07-06,68,9.2
INT000535,TEAM008,EMP0417,EMP0443,Brainstorming,2025-09-19,22,7.3
INT000536,TEAM008,EMP0417,EMP0443,Collaboration,2025-08-01,11,6.3
INT000537,TEAM008,EMP0417,EMP0473,Discussion,2025-07-04,9,7.7
INT000538,TEAM008,EMP0417,EMP0473,Discussion,2025-05-16,12,8.7
INT000539,TEAM008,EMP0417,EMP0473,Mentoring,2025-07-24,101,6.1
INT000540,TEAM008,EMP0417,EMP0473,Discussion,2025-07-17,21,4.5
INT000541,TEAM008,EMP0417,EMP0473,Meeting,2025-09-26,22,4.8
INT000542,TEAM008,EMP0417,EMP0216,Pair Programming,2025-09-12,20,8.2
INT000543,TEAM008,EMP0417,EMP0216,Pair Programming,2025-10-30,4,8.1
INT000544,TEAM008,EMP0417,EMP0216,Collaboration,2025-09-11,7,7.3
INT000545,TEAM008,EMP0443,EMP0473,Collaboration,2025-07-13,16,6.7
INT000546,TEAM008,EMP0443,EMP0473,Collaboration,2025-07-04,21,8.1
INT000547,TEAM008,EMP0443,EMP0473,Meeting,2025-06-30,22,8.1
INT000548,TEAM008,EMP0443,EMP0216,Brainstorming,2025-08-31,12,8.3
INT000549,TEAM008,EMP0443,EMP0216,Brainstorming,2025-06-21,1,6.1
INT000550,TEAM008,EMP0443,EMP0216,Collaboration,2025-08-06,10,4.6
INT000551,TEAM008,EMP0443,EMP0216,Brainstorming,2025-10-28,16,8.4
INT000552,TEAM009,EMP0017,EMP0296,Meeting,2025-07-22,19,7.7
INT000553,TEAM009,EMP0017,EMP0296,Brainstorming,2025-05-24,22,7.3
INT000554,TEAM009,EMP0017,EMP0296,Pair Programming,2025-09-05,18,7.6
INT000555,TEAM009,EMP0017,EMP0481,Pair Programming,2025-09-01,23,7.8
INT000556,TEAM009,EMP0017,EMP0481,Discussion,2025-10-16,13,9.0
INT000557,TEAM009,EMP0017,EMP0481,Brainstorming,2025-10-08,3,3.8
INT000558,TEAM009,EMP0017,EMP0481,Code Review,2025-09-08,8,6.4
INT000559,TEAM009,EMP0017,EMP0481,Mentoring,2025-06-10,20,7.9
INT000560,TEAM009,EMP0017,EMP0154,Mentoring,2025-06-04,18,6.9
INT000561,TEAM009,EMP0017,EMP0154,Code Review,2025-07-21,33,7.5
INT000562,TEAM009,EMP0017,EMP0154,Code Review,2025-06-03,34,6.7
INT000563,TEAM009,EMP0017,EMP0154,Brainstorming,2025-09-16,2,8.6
INT000564,TEAM009,EMP0296,EMP0359,Collaboration,2025-10-23,22,6.9
INT000565,TEAM009,EMP0296,EMP0359,Collaboration,2025-08-10,10,5.8
INT000566,TEAM009,EMP0296,EMP0359,Collaboration,2025-08-28,9,6.7
INT000567,TEAM009,EMP0296,EMP0359,Code Review,2025-06-23,112,7.8
INT000568,TEAM009,EMP0296,EMP0481,Pair Programming,2025-05-11,17,7.4
INT000569,TEAM009,EMP0296,EMP0481,Collaboration,2025-08-25,1,7.2
INT000570,TEAM009,EMP0296,EMP0481,Brainstorming,2025-08-31,44,7.6
INT000571,TEAM009,EMP0296,EMP0481,Mentoring,2025-06-29,50,6.1
INT000572,TEAM009,EMP0296,EMP0481,Code Review,2025-10-14,22,7.6
INT000573,TEAM010,EMP0103,EMP0143,Code Review,2025-10-05,68,7.9
INT000574,TEAM010,EMP0103,EMP0406,Brainstorming,2025-08-17,2,7.3
INT000575,TEAM010,EMP0103,EMP0406,Brainstorming,2025-09-05,13,6.0
INT000576,TEAM010,EMP0103,EMP0406,Discussion,2025-05-18,10,5.3
INT000577,TEAM010,EMP0103,EMP0242,Mentoring,2025-06-13,22,7.4
INT000578,TEAM010,EMP0103,EMP0242,Mentoring,2025-08-31,67,8.5
INT000579,TEAM010,EMP0103,EMP0242,Discussion,2025-07-24,53,8.2
INT000580,TEAM010,EMP0103,EMP0242,Meeting,2025-07-15,66,7.3
INT000581,TEAM010,EMP0103,EMP0242,Brainstorming,2025-05-29,11,7.2
INT000582,TEAM010,EMP0103,EMP0242,Discussion,2025-10-15,11,7.6
INT000583,TEAM010,EMP0103,EMP0242,Mentoring,2025-06-29,42,6.1
INT000584,TEAM010,EMP0103,EMP0063,Discussion,2025-08-05,29,6.3
INT000585,TEAM010,EMP0103,EMP0063,Pair Programming,2025-07-06,10,5.4
INT000586,TEAM010,EMP0103,EMP0063,Meeting,2025-06-12,19,7.3
INT000587,TEAM010,EMP0103,EMP0063,Mentoring,2025-10-15,18,6.6
INT000588,TEAM010,EMP0103,EMP0063,Mentoring,2025-07-13,41,8.5
INT000589,TEAM010,EMP0103,EMP0063,Mentoring,2025-05-21,3,6.5
INT000590,TEAM010,EMP0103,EMP0063,Brainstorming,2025-08-08,5,6.5
INT000591,TEAM010,EMP0103,EMP0063,Brainstorming,2025-10-22,5,6.1
INT000592,TEAM010,EMP0103,EMP0063,Discussion,2025-06-24,40,6.0
INT000593,TEAM010,EMP0103,EMP0051,Brainstorming,2025-07-21,12,8.4
INT000594,TEAM010,EMP0103,EMP0051,Discussion,2025-09-14,14,9.1
INT000595,TEAM010,EMP0103,EMP0051,Pair Programming,2025-08-31,15,7.8
INT000596,TEAM010,EMP0103,EMP0051,Pair Programming,2025-08-27,9,6.6
INT000597,TEAM010,EMP0103,EMP0051,Collaboration,2025-06-20,42,6.5
INT000598,TEAM010,EMP0103,EMP0085,Brainstorming,2025-07-06,22,7.3
INT000599,TEAM010,EMP0103,EMP0085,Mentoring,2025-08-12,9,5.9
INT000600,TEAM010,EMP0103,EMP0085,Meeting,2025-10-26,42,6.5
INT000601,TEAM010,EMP0103,EMP0085,Mentoring,2025-10-13,32,6.3
INT000602,TEAM010,EMP0103,EMP0085,Meeting,2025-07-13,20,6.2
INT000603,TEAM010,EMP0445,EMP0143,Discussion,2025-09-28,30,8.7
INT000604,TEAM010,EMP0445,EMP0143,Meeting,2025-07-14,33,4.7
INT000605,TEAM010,EMP0445,EMP0143,Code Review,2025-07-21,16,5.5
INT000606,TEAM010,EMP0445,EMP0143,Code Review,2025-05-15,62,7.2
INT000607,TEAM010,EMP0445,EMP0143,Pair Programming,2025-05-25,8,8.4
INT000608,TEAM010,EMP0445,EMP0406,Meeting,2025-08-29,56,7.0
INT000609,TEAM010,EMP0445,EMP0406,Pair Programming,2025-05-24,6,3.6
INT000610,TEAM010,EMP0445,EMP0406,Meeting,2025-09-04,37,7.2
INT000611,TEAM010,EMP0445,EMP0406,Mentoring,2025-08-04,23,5.8
INT000612,TEAM010,EMP0445,EMP0406,Code Review,2025-05-25,45,8.7
INT000613,TEAM010,EMP0445,EMP0406,Discussion,2025-10-25,19,5.9
INT000614,TEAM010,EMP0445,EMP0085,Mentoring,2025-10-15,47,7.3
INT000615,TEAM010,EMP0143,EMP0406,Discussion,2025-09-14,25,9.5
INT000616,TEAM010,EMP0143,EMP0406,Code Review,2025-10-19,49,6.4
INT000617,TEAM010,EMP0143,EMP0406,Code Review,2025-06-09,10,7.2
INT000618,TEAM010,EMP0143,EMP0406,Mentoring,2025-06-28,30,9.1
INT000619,TEAM010,EMP0143,EMP0406,Meeting,2025-07-17,39,7.6
INT000620,TEAM010,EMP0143,EMP0242,Brainstorming,2025-08-12,11,5.6
INT000621,TEAM010,EMP0143,EMP0242,Brainstorming,2025-10-08,14,7.9
INT000622,TEAM010,EMP0143,EMP0242,Mentoring,2025-07-22,18,5.0
INT000623,TEAM010,EMP0143,EMP0242,Discussion,2025-10-05,17,7.3
INT000624,TEAM010,EMP0143,EMP0063,Meeting,2025-08-01,18,5.6
INT000625,TEAM010,EMP0143,EMP0063,Meeting,2025-10-12,41,9.2
INT000626,TEAM010,EMP0143,EMP0063,Pair Programming,2025-08-19,7,6.5
INT000627,TEAM010,EMP0143,EMP0063,Code Review,2025-08-23,71,6.6
INT000628,TEAM010,EMP0143,EMP0063,Brainstorming,2025-08-02,16,7.6
INT000629,TEAM010,EMP0143,EMP0063,Mentoring,2025-10-04,45,7.1
INT000630,TEAM010,EMP0143,EMP0063,Code Review,2025-05-18,54,8.0
INT000631,TEAM010,EMP0143,EMP0063,Collaboration,2025-10-21,12,9.3
INT000632,TEAM010,EMP0143,EMP0063,Meeting,2025-06-16,28,6.0
INT000633,TEAM010,EMP0143,EMP0085,Mentoring,2025-08-10,5,6.5
INT000634,TEAM010,EMP0143,EMP0085,Mentoring,2025-09-14,12,7.4
INT000635,TEAM010,EMP0143,EMP0085,Discussion,2025-09-30,10,8.8
INT000636,TEAM010,EMP0406,EMP0063,Meeting,2025-09-13,91,7.8
INT000637,TEAM010,EMP0406,EMP0063,Code Review,2025-10-13,155,7.0
INT000638,TEAM010,EMP0406,EMP0063,Collaboration,2025-10-07,5,9.4
INT000639,TEAM010,EMP0406,EMP0063,Pair Programming,2025-08-01,27,6.5
INT000640,TEAM010,EMP0406,EMP0085,Code Review,2025-10-03,46,9.1
INT000641,TEAM010,EMP0406,EMP0085,Mentoring,2025-08-29,39,6.5
INT000642,TEAM010,EMP0406,EMP0085,Code Review,2025-10-17,52,7.9
INT000643,TEAM010,EMP0406,EMP0085,Collaboration,2025-06-19,39,8.5
INT000644,TEAM011,EMP0450,EMP0200,Collaboration,2025-06-28,8,5.4
INT000645,TEAM011,EMP0450,EMP0200,Code Review,2025-06-30,70,7.0
INT000646,TEAM011,EMP0450,EMP0200,Pair Programming,2025-07-30,9,4.2
INT000647,TEAM011,EMP0450,EMP0200,Meeting,2025-05-26,46,4.2
INT000648,TEAM011,EMP0450,EMP0200,Discussion,2025-09-07,7,7.2
INT000649,TEAM011,EMP0450,EMP0183,Discussion,2025-09-07,3,6.9
INT000650,TEAM011,EMP0450,EMP0183,Collaboration,2025-05-28,14,7.6
INT000651,TEAM011,EMP0200,EMP0183,Pair Programming,2025-11-04,25,7.9
INT000652,TEAM011,EMP0200,EMP0183,Code Review,2025-08-18,34,5.6
INT000653,TEAM011,EMP0200,EMP0183,Brainstorming,2025-07-31,8,6.7
INT000654,TEAM011,EMP0200,EMP0183,Discussion,2025-06-15,12,3.9
INT000655,TEAM011,EMP0200,EMP0183,Collaboration,2025-08-06,19,5.1
INT000656,TEAM012,EMP0083,EMP0122,Meeting,2025-10-21,33,7.9
INT000657,TEAM012,EMP0083,EMP0122,Code Review,2025-09-01,45,7.7
INT000658,TEAM012,EMP0083,EMP0122,Meeting,2025-10-28,83,6.4
INT000659,TEAM012,EMP0083,EMP0122,Collaboration,2025-07-29,8,8.6
INT000660,TEAM012,EMP0083,EMP0122,Mentoring,2025-08-26,92,7.4
INT000661,TEAM012,EMP0083,EMP0122,Brainstorming,2025-07-02,17,7.2
INT000662,TEAM012,EMP0083,EMP0122,Discussion,2025-07-24,16,6.0
INT000663,TEAM012,EMP0083,EMP0122,Discussion,2025-05-12,23,5.2
INT000664,TEAM012,EMP0083,EMP0122,Mentoring,2025-10-17,71,7.4
INT000665,TEAM012,EMP0083,EMP0456,Code Review,2025-06-03,27,7.6
