learner_id,age,primary_interest,learning_style,time_available_weekly,learning_goal,experience_level,joined_date
LRN00352,27,Business,Mixed,7.0,Career Switch,Advanced,2025-05-21
LRN00353,35,Programming,Hands-on,7.4,Certification,Advanced,2024-06-08
LRN00354,42,Design,Hands-on,5.5,Personal Interest,Intermediate,2024-12-20
LRN00355,31,Programming,Visual,3.8,Promotion,Beginner,2024-04-09
LRN00356,20,Programming,Hands-on,4.5,Certification,Beginner,2025-09-01
LRN00357,24,Design,Mixed,3.0,Skill Enhancement,Advanced,2024-12-16
LRN00358,31,Programming,Visual,8.4,Personal Interest,Advanced,2024-01-30
LRN00359,33,Programming,Theoretical,2.0,Personal Interest,Intermediate,2023-12-22
LRN00360,28,Cloud,Mixed,3.5,Skill Enhancement,Advanced,2024-06-16
LRN00361,19,Business,Hands-on,2.0,Career Switch,Intermediate,2025-04-25
LRN00362,37,Design,Theoretical,3.0,Skill Enhancement,Beginner,2024-10-28
LRN00363,23,Business,Hands-on,1.5,Skill Enhancement,Advanced,2023-12-24
LRN00364,24,Design,Mixed,4.8,Promotion,Intermediate,2025-07-12
LRN00365,29,Design,Visual,7.1,Skill Enhancement,Beginner,2024-06-07
LRN00366,18,Business,Hands-on,7.2,Career Switch,Intermediate,2024-09-11
LRN00367,24,Data Science,Mixed,6.2,Personal Interest,Intermediate,2024-12-03
LRN00368,23,Cloud,Visual,5.4,Personal Interest,Advanced,2024-10-05
LRN00369,21,Data Science,Visual,12.0,Career Switch,Intermediate,2024-11-28
LRN00370,23,Data Science,Mixed,1.3,Promotion,Advanced,2024-11-24
LRN00371,20,Programming,Theoretical,3.1,Personal Interest,Advanced,2025-02-24
LRN00372,22,Data Science,Hands-on,2.9,Certification,Beginner,2024-06-30
LRN00373,19,Cloud,Theoretical,5.6,Certification,Advanced,2024-03-25
LRN00374,31,Design,Hands-on,3.7,Skill Enhancement,Advanced,2024-02-06
LRN00375,25,Programming,Mixed,11.9,Promotion,Advanced,2024-10-03
LRN00376,37,Programming,Visual,8.4,Career Switch,Advanced,2024-05-09
LRN00377,18,Data Science,Hands-on,1.7,Skill Enhancement,Intermediate,2024-04-24
LRN00378,35,Design,Visual,9.4,Skill Enhancement,Advanced,2024-02-19
LRN00379,30,Design,Visual,4.7,Promotion,Intermediate,2025-08-13
LRN00380,30,Design,Hands-on,9.5,Promotion,Intermediate,2024-06-28
LRN00381,37,Cloud,Visual,5.5,Promotion,Intermediate,2023-11-20
LRN00382,25,Business,Visual,7.4,Certification,Intermediate,2025-10-05
LRN00383,27,Data Science,Visual,4.2,Career Switch,Intermediate,2024-10-21
LRN00384,31,Programming,Visual,5.3,Career Switch,Intermediate,2025-09-06
LRN00385,26,Business,Mixed,6.4,Skill Enhancement,Beginner,2023-12-22
LRN00386,29,Design,Theoretical,4.0,Certification,Intermediate,2024-09-17
LRN00387,18,Design,Visual,5.4,Promotion,Beginner,2023-12-09
LRN00388,27,Business,Visual,2.1,Skill Enhancement,Advanced,2024-09-01
LRN00389,33,Cloud,Hands-on,6.6,Skill Enhancement,Beginner,2025-09-15
LRN00390,32,Business,Mixed,3.2,Promotion,Intermediate,2024-04-12
LRN00391,22,Design,Hands-on,13.1,Skill Enhancement,Intermediate,2024-10-19
LRN00392,25,Data Science,Theoretical,3.7,Skill Enhancement,Advanced,2025-06-15
LRN00393,29,Programming,Mixed,6.8,Promotion,Beginner,2025-02-04
LRN00394,31,Data Science,Visual,5.6,Career Switch,Advanced,2025-09-04
LRN00395,33,Design,Visual,11.4,Skill Enhancement,Advanced,2025-08-24
LRN00396,33,Design,Mixed,3.2,Skill Enhancement,Advanced,2025-02-28
LRN00397,28,Programming,Hands-on,5.9,Promotion,Intermediate,2025-02-11
LRN00398,34,Cloud,Theoretical,3.2,Promotion,Advanced,2023-11-20
LRN00399,18,Business,Hands-on,9.8,Personal Interest,Beginner,2023-12-02
LRN00400,33,Cloud,Hands-on,2.0,Certification,Intermediate,2024-12-31
LRN00401,33,Programming,Hands-on,1.6,Certification,Advanced,2024-05-19
LRN00402,18,Programming,Theoretical,3.7,Certification,Advanced,2024-11-16
LRN00403,34,Design,Mixed,3.4,Skill Enhancement,Intermediate,2024-09-18
LRN00404,28,Data Science,Mixed,3.9,Skill Enhancement,Beginner,2024-12-05
LRN00405,39,Data Science,Mixed,3.4,Career Switch,Advanced,2024-08-12
LRN00406,24,Design,Hands-on,8.4,Certification,Beginner,2025-01-20
LRN00407,30,Data Science,Theoretical,3.4,Career Switch,Intermediate,2024-09-24
LRN00408,30,Programming,Hands-on,2.5,Career Switch,Intermediate,2024-09-17
LRN00409,21,Cloud,Visual,1.0,Career Switch,Beginner,2024-02-15
LRN00410,32,Cloud,Hands-on,7.1,Certification,Beginner,2024-11-02
LRN00411,32,Business,Visual,2.4,Skill Enhancement,Beginner,2025-06-10
LRN00412,18,Design,Hands-on,4.6,Promotion,Advanced,2025-03-13
LRN00413,21,Design,Hands-on,1.9,Promotion,Intermediate,2024-12-23
LRN00414,28,Design,Mixed,8.9,Promotion,Advanced,2024-10-06
LRN00415,31,Business,Theoretical,4.2,Personal Interest,Advanced,2024-05-17
LRN00416,40,Design,Visual,7.0,Certification,Intermediate,2025-03-14
LRN00417,20,Business,Theoretical,2.6,Certification,Beginner,2024-03-11
LRN00418,33,Data Science,Hands-on,9.2,Career Switch,Intermediate,2024-03-21
LRN00419,35,Cloud,Mixed,4.5,Personal Interest,Beginner,2025-03-22
LRN00420,31,Business,Hands-on,4.7,Certification,Advanced,2025-01-30
LRN00421,25,Design,Theoretical,1.9,Personal Interest,Intermediate,2023-12-21
LRN00422,32,Design,Mixed,2.0,Skill Enhancement,Advanced,2024-10-13
LRN00423,23,Data Science,Hands-on,5.7,Promotion,Intermediate,2025-04-03
LRN00424,31,Cloud,Visual,1.6,Promotion,Beginner,2025-07-24
LRN00425,18,Programming,Visual,9.7,Certification,Beginner,2024-01-02
LRN00426,36,Data Science,Visual,5.3,Skill Enhancement,Beginner,2025-02-27
LRN00427,19,Cloud,Mixed,5.6,Personal Interest,Beginner,2024-01-15
LRN00428,25,Cloud,Mixed,3.1,Certification,Beginner,2025-10-02
LRN00429,20,Cloud,Mixed,7.8,Career Switch,Beginner,2024-04-14
LRN00430,26,Business,Theoretical,5.9,Career Switch,Advanced,2023-11-18
LRN00431,25,Design,Hands-on,5.2,Career Switch,Beginner,2024-04-20
LRN00432,27,Data Science,Hands-on,3.2,Skill Enhancement,Advanced,2024-04-17
LRN00433,39,Business,Theoretical,9.3,Personal Interest,Intermediate,2025-07-20
LRN00434,37,Business,Mixed,5.8,Certification,Advanced,2025-02-01
LRN00435,27,Data Science,Theoretical,10.4,Career Switch,Advanced,2023-12-13
LRN00436,26,Programming,Visual,11.5,Certification,Intermediate,2024-09-17
LRN00437,21,Cloud,Mixed,5.1,Career Switch,Advanced,2025-09-29
LRN00438,25,Data Science,Visual,9.0,Certification,Intermediate,2023-12-18
LRN00439,23,Business,Visual,6.1,Promotion,Beginner,2025-02-15
LRN00440,25,Data Science,Mixed,1.3,Personal Interest,Beginner,2025-07-24
LRN00441,32,Business,Visual,2.2,Skill Enhancement,Intermediate,2025-09-22
LRN00442,18,Data Science,Hands-on,3.6,Certification,Beginner,2024-12-06
LRN00443,18,Data Science,Hands-on,10.8,Promotion,Intermediate,2023-11-15
LRN00444,35,Cloud,Theoretical,7.8,Certification,Advanced,2025-05-18
LRN00445,18,Programming,Theoretical,6.3,Career Switch,Beginner,2024-07-18
LRN00446,40,Data Science,Visual,7.0,Personal Interest,Advanced,2024-01-19
LRN00447,39,Cloud,Mixed,8.2,Personal Interest,Beginner,2023-12-29
LRN00448,32,Business,Mixed,6.8,Certification,Beginner,2024-10-09
LRN00449,21,Cloud,Mixed,3.3,Certification,Beginner,2023-11-12
LRN00450,32,Cloud,Mixed,6.4,Career Switch,Advanced,2024-12-10
LRN00451,31,Data Science,Visual,7.3,Career Switch,Intermediate,2025-05-04
LRN00452,39,Design,Hands-on,6.0,Certification,Intermediate,2024-10-04
LRN00453,35,Programming,Visual,5.0,Career Switch,Intermediate,2024-07-10
LRN00454,18,Business,Theoretical,3.0,Career Switch,Beginner,2025-07-11
LRN00455,22,Data Science,Mixed,3.2,Certification,Advanced,2024-03-19
LRN00456,22,Cloud,Mixed,5.4,Career Switch,Beginner,2025-07-09
LRN00457,35,Business,Visual,6.1,Promotion,Advanced,2024-11-10
LRN00458,24,Design,Visual,7.2,Personal Interest,Intermediate,2024-09-06
LRN00459,36,Programming,Hands-on,9.0,Promotion,Advanced,2025-04-18
LRN00460,19,Design,Hands-on,5.9,Skill Enhancement,Intermediate,2024-12-04
LRN00461,32,Business,Mixed,3.1,Skill Enhancement,Beginner,2025-04-20
LRN00462,23,Design,Theoretical,7.0,Certification,Intermediate,2024-05-31
LRN00463,18,Programming,Theoretical,9.5,Personal Interest,Beginner,2024-01-07
LRN00464,32,Design,Hands-on,3.4,Certification,Beginner,2025-05-23
LRN00465,32,Business,Visual,2.8,Certification,Intermediate,2024-01-12
LRN00466,39,Design,Theoretical,6.6,Certification,Intermediate,2024-07-25
LRN00467,18,Cloud,Hands-on,2.2,Personal Interest,Intermediate,2024-01-30
LRN00468,37,Data Science,Mixed,4.3,Personal Interest,Beginner,2024-08-27
LRN00469,33,Business,Theoretical,3.9,Certification,Advanced,2025-02-02
LRN00470,33,Business,Mixed,8.2,Personal Interest,Intermediate,2024-09-30
LRN00471,32,Programming,Hands-on,5.0,Promotion,Advanced,2025-04-07
LRN00472,23,Cloud,Visual,5.2,Certification,Advanced,2025-03-08
LRN00473,26,Design,Theoretical,1.3,Career Switch,Intermediate,2023-11-19
LRN00474,33,Design,Hands-on,7.6,Personal Interest,Beginner,2025-01-23
LRN00475,38,Data Science,Mixed,9.7,Certification,Beginner,2024-07-06
LRN00476,44,Cloud,Mixed,6.2,Promotion,Intermediate,2024-04-09
LRN00477,36,Cloud,Mixed,13.4,Promotion,Beginner,2024-10-05
LRN00478,24,Cloud,Visual,7.1,Career Switch,Beginner,2023-12-05
LRN00479,18,Business,Hands-on,4.7,Promotion,Beginner,2024-03-11
LRN00480,32,Design,Theoretical,7.6,Certification,Beginner,2025-09-28
LRN00481,35,Programming,Theoretical,5.1,Skill Enhancement,Advanced,2024-04-25
LRN00482,22,Cloud,Hands-on,2.6,Certification,Intermediate,2024-09-03
LRN00483,39,Design,Hands-on,5.3,Personal Interest,Beginner,2024-06-01
LRN00484,18,Programming,Theoretical,9.4,Certification,Beginner,2025-06-12
LRN00485,38,Data Science,Theoretical,6.8,Personal Interest,Intermediate,2024-06-29
LRN00486,19,Data Science,Mixed,7.4,Personal Interest,Intermediate,2025-07-01
LRN00487,20,Design,Mixed,9.1,Personal Interest,Beginner,2024-12-05
LRN00488,31,Programming,Visual,12.2,Career Switch,Intermediate,2023-12-15
LRN00489,34,Programming,Hands-on,2.7,Skill Enhancement,Advanced,2025-04-13
LRN00490,52,Cloud,Hands-on,6.2,Personal Interest,Advanced,2024-07-29
LRN00491,18,Design,Hands-on,5.8,Certification,Advanced,2025-04-03
LRN00492,34,Data Science,Mixed,4.0,Certification,Beginner,2024-01-19
LRN00493,26,Data Science,Mixed,3.1,Promotion,Intermediate,2024-09-05
LRN00494,26,Programming,Hands-on,2.4,Skill Enhancement,Intermediate,2025-08-05
LRN00495,32,Cloud,Visual,4.8,Promotion,Beginner,2024-09-29
LRN00496,29,Business,Hands-on,8.8,Certification,Beginner,2025-01-13
LRN00497,22,Design,Theoretical,6.3,Promotion,Intermediate,2024-01-22
LRN00498,28,Design,Visual,3.8,Personal Interest,Intermediate,2024-06-27
LRN00499,26,Cloud,Hands-on,6.5,Personal Interest,Advanced,2024-02-12
LRN00500,30,Programming,Hands-on,4.7,Personal Interest,Beginner,2025-02-06
LRN00501,22,Business,Visual,3.5,Skill Enhancement,Intermediate,2025-05-17
LRN00502,22,Cloud,Mixed,3.9,Certification,Advanced,2025-05-20
LRN00503,25,Cloud,Mixed,1.5,Certification,Beginner,2024-05-28
LRN00504,24,Cloud,Hands-on,2.3,Promotion,Beginner,2024-05-25
LRN00505,19,Business,Hands-on,4.2,Skill Enhancement,Intermediate,2024-07-04
LRN00506,23,Cloud,Visual,4.0,Personal Interest,Beginner,2024-05-30
LRN00507,29,Data Science,Hands-on,4.2,Certification,Advanced,2024-05-09
LRN00508,30,Design,Mixed,5.2,Certification,Intermediate,2024-07-11
LRN00509,21,Design,Hands-on,11.1,Career Switch,Advanced,2025-09-07
LRN00510,30,Data Science,Theoretical,6.0,Career Switch,Intermediate,2025-02-20
LRN00511,49,Cloud,Theoretical,1.9,Skill Enhancement,Intermediate,2024-03-08
LRN00512,34,Design,Visual,5.1,Promotion,Beginner,2025-01-07
LRN00513,21,Cloud,Theoretical,2.3,Promotion,Beginner,2024-07-14
LRN00514,18,Cloud,Hands-on,13.8,Certification,Beginner,2023-12-09
LRN00515,34,Data Science,Theoretical,4.1,Career Switch,Intermediate,2025-01-12
LRN00516,34,Business,Visual,4.5,Certification,Beginner,2025-02-08
LRN00517,34,Data Science,Theoretical,13.1,Promotion,Advanced,2024-07-27
LRN00518,27,Data Science,Hands-on,10.5,Skill Enhancement,Beginner,2025-08-09
LRN00519,27,Cloud,Theoretical,4.5,Promotion,Intermediate,2024-02-05
LRN00520,36,Cloud,Hands-on,12.2,Personal Interest,Advanced,2024-12-13
LRN00521,25,Business,Theoretical,6.2,Promotion,Advanced,2025-07-03
LRN00522,18,Data Science,Mixed,16.4,Career Switch,Intermediate,2023-12-07
LRN00523,26,Data Science,Hands-on,1.0,Skill Enhancement,Beginner,2024-11-13
LRN00524,34,Data Science,Mixed,6.1,Certification,Beginner,2024-02-25
LRN00525,19,Business,Mixed,2.9,Certification,Intermediate,2025-07-23
LRN00526,22,Programming,Mixed,3.7,Promotion,Advanced,2024-12-28
LRN00527,34,Business,Mixed,5.6,Certification,Intermediate,2024-02-21
LRN00528,31,Programming,Visual,10.4,Certification,Advanced,2023-11-28
LRN00529,23,Business,Visual,5.7,Promotion,Intermediate,2025-02-27
LRN00530,21,Design,Hands-on,3.8,Certification,Intermediate,2024-11-12
LRN00531,31,Business,Theoretical,3.4,Promotion,Advanced,2025-05-28
LRN00532,22,Cloud,Mixed,3.0,Personal Interest,Advanced,2025-08-20
LRN00533,20,Programming,Visual,6.4,Certification,Beginner,2025-06-03
LRN00534,31,Data Science,Mixed,3.5,Certification,Beginner,2024-07-27
LRN00535,31,Data Science,Hands-on,3.3,Personal Interest,Beginner,2025-01-01
LRN00536,25,Programming,Theoretical,2.8,Personal Interest,Beginner,2024-09-23
LRN00537,22,Data Science,Visual,5.1,Certification,Advanced,2024-11-30
LRN00538,35,Data Science,Mixed,3.6,Career Switch,Advanced,2025-07-03
LRN00539,31,Programming,Hands-on,1.9,Certification,Beginner,2025-05-26
LRN00540,37,Cloud,Hands-on,4.2,Promotion,Advanced,2024-07-10
LRN00541,29,Programming,Visual,1.0,Personal Interest,Beginner,2024-08-02
LRN00542,28,Data Science,Mixed,8.8,Career Switch,Beginner,2024-09-11
LRN00543,18,Programming,Visual,13.2,Career Switch,Intermediate,2024-09-27
LRN00544,18,Business,Hands-on,4.4,Certification,Beginner,2023-12-22
LRN00545,23,Data Science,Visual,6.5,Promotion,Advanced,2025-09-30
LRN00546,21,Cloud,Hands-on,3.7,Certification,Intermediate,2025-03-04
LRN00547,24,Data Science,Mixed,10.6,Promotion,Advanced,2024-07-12
LRN00548,30,Data Science,Visual,4.0,Career Switch,Beginner,2025-06-04
LRN00549,33,Cloud,Mixed,13.9,Personal Interest,Intermediate,2024-11-20
LRN00550,22,Data Science,Hands-on,4.8,Personal Interest,Advanced,2025-07-14
LRN00551,28,Data Science,Theoretical,10.8,Career Switch,Advanced,2024-12-04
LRN00552,22,Data Science,Hands-on,2.3,Certification,Intermediate,2023-12-17
LRN00553,28,Programming,Hands-on,6.2,Certification,Intermediate,2025-06-15
LRN00554,33,Data Science,Mixed,1.8,Promotion,Beginner,2024-04-16
LRN00555,34,Programming,Theoretical,4.0,Personal Interest,Beginner,2024-09-07
LRN00556,30,Cloud,Mixed,7.3,Personal Interest,Advanced,2023-11-09
LRN00557,35,Data Science,Mixed,2.5,Career Switch,Beginner,2024-02-15
LRN00558,18,Programming,Visual,1.6,Personal Interest,Beginner,2025-08-29
LRN00559,24,Programming,Mixed,3.9,Promotion,Intermediate,2024-01-04
LRN00560,18,Cloud,Mixed,6.5,Certification,Advanced,2024-08-23
LRN00561,18,Programming,Hands-on,5.2,Personal Interest,Beginner,2024-11-25
LRN00562,31,Programming,Hands-on,4.7,Skill Enhancement,Advanced,2024-11-08
LRN00563,18,Design,Visual,8.5,Personal Interest,Advanced,2024-07-18
LRN00564,34,Data Science,Visual,2.8,Skill Enhancement,Beginner,2024-07-21
LRN00565,41,Programming,Mixed,4.5,Promotion,Advanced,2025-08-13
LRN00566,32,Business,Hands-on,3.1,Career Switch,Beginner,2025-05-21
LRN00567,23,Programming,Hands-on,3.0,Certification,Intermediate,2024-04-21
LRN00568,18,Cloud,Theoretical,6.6,Skill Enhancement,Intermediate,2025-06-01
LRN00569,23,Business,Visual,5.1,Career Switch,Intermediate,2024-07-26
LRN00570,18,Business,Visual,2.0,Personal Interest,Advanced,2024-02-26
LRN00571,43,Programming,Mixed,5.7,Certification,Advanced,2024-10-05
LRN00572,19,Programming,Mixed,10.6,Promotion,Beginner,2024-09-27
LRN00573,21,Data Science,Theoretical,14.3,Career Switch,Advanced,2023-11-18
LRN00574,34,Programming,Hands-on,1.5,Promotion,Beginner,2025-08-24
LRN00575,20,Programming,Hands-on,7.0,Career Switch,Intermediate,2024-10-01
LRN00576,32,Design,Hands-on,2.4,Skill Enhancement,Beginner,2024-03-21
LRN00577,47,Design,Hands-on,5.8,Personal Interest,Beginner,2024-08-08
LRN00578,22,Business,Theoretical,5.6,Career Switch,Advanced,2024-09-22
LRN00579,26,Programming,Visual,1.4,Skill Enhancement,Beginner,2024-04-28
LRN00580,32,Programming,Mixed,1.2,Career Switch,Intermediate,2024-12-23
LRN00581,21,Business,Theoretical,5.8,Career Switch,Advanced,2024-06-28
LRN00582,25,Programming,Theoretical,7.4,Skill Enhancement,Intermediate,2024-03-10
LRN00583,18,Business,Hands-on,1.3,Certification,Intermediate,2024-02-11
LRN00584,36,Design,Hands-on,5.0,Promotion,Beginner,2025-05-07
LRN00585,38,Programming,Mixed,10.1,Career Switch,Beginner,2024-04-02
LRN00586,23,Business,Visual,1.8,Personal Interest,Beginner,2023-12-05
LRN00587,18,Design,Theoretical,3.7,Career Switch,Beginner,2024-04-14
LRN00588,18,Data Science,Mixed,4.1,Certification,Beginner,2025-05-16
LRN00589,37,Business,Visual,6.8,Career Switch,Beginner,2024-04-24
LRN00590,26,Design,Theoretical,6.0,Certification,Advanced,2025-07-14
LRN00591,31,Cloud,Visual,5.2,Promotion,Beginner,2023-12-26
LRN00592,23,Design,Visual,7.0,Promotion,Advanced,2025-08-06
LRN00593,20,Design,Hands-on,13.2,Skill Enhancement,Intermediate,2025-01-14
LRN00594,31,Business,Mixed,2.8,Personal Interest,Intermediate,2024-07-02
LRN00595,26,Business,Hands-on,5.9,Career Switch,Beginner,2025-05-22
LRN00596,31,Cloud,Visual,8.0,Skill Enhancement,Beginner,2025-04-23
LRN00597,18,Design,Mixed,6.8,Personal Interest,Intermediate,2025-06-07
LRN00598,31,Cloud,Theoretical,2.0,Skill Enhancement,Intermediate,2024-11-27
LRN00599,22,Design,Theoretical,2.5,Career Switch,Beginner,2025-04-30
LRN00600,18,Business,Visual,3.7,Skill Enhancement,Intermediate,2025-05-10
LRN00601,29,Programming,Hands-on,4.2,Personal Interest,Intermediate,2024-05-01
LRN00602,25,Programming,Theoretical,5.0,Personal Interest,Beginner,2025-09-07
LRN00603,23,Design,Mixed,5.8,Promotion,Advanced,2024-03-24
LRN00604,36,Data Science,Visual,13.4,Certification,Beginner,2025-05-18
LRN00605,28,Programming,Visual,6.6,Career Switch,Beginner,2025-05-28
LRN00606,25,Data Science,Mixed,6.1,Personal Interest,Advanced,2024-01-02
LRN00607,33,Programming,Theoretical,11.7,Career Switch,Beginner,2025-08-03
LRN00608,23,Data Science,Mixed,3.3,Skill Enhancement,Beginner,2024-11-03
LRN00609,42,Programming,Visual,4.4,Certification,Beginner,2025-04-19
LRN00610,30,Cloud,Mixed,10.3,Certification,Intermediate,2025-09-08
LRN00611,29,Design,Mixed,8.1,Skill Enhancement,Intermediate,2025-03-03
LRN00612,26,Data Science,Theoretical,5.2,Personal Interest,Intermediate,2025-05-09
LRN00613,37,Programming,Hands-on,7.8,Personal Interest,Intermediate,2024-08-13
LRN00614,18,Cloud,Mixed,5.0,Career Switch,Beginner,2024-12-26
LRN00615,31,Design,Hands-on,10.8,Certification,Beginner,2023-12-20
LRN00616,18,Cloud,Hands-on,4.9,Promotion,Beginner,2024-09-12
LRN00617,32,Business,Mixed,5.6,Promotion,Intermediate,2024-10-21
LRN00618,25,Cloud,Theoretical,3.3,Certification,Intermediate,2025-04-07
LRN00619,30,Programming,Theoretical,6.9,Promotion,Beginner,2025-09-08
LRN00620,18,Business,Visual,6.9,Certification,Advanced,2024-10-07
LRN00621,18,Cloud,Hands-on,4.3,Skill Enhancement,Beginner,2025-01-28
LRN00622,25,Data Science,Theoretical,6.7,Promotion,Advanced,2025-08-12
LRN00623,30,Data Science,Mixed,3.0,Personal Interest,Beginner,2025-04-11
LRN00624,26,Data Science,Theoretical,9.5,Personal Interest,Advanced,2025-09-10
LRN00625,41,Business,Hands-on,4.2,Promotion,Beginner,2024-05-22
LRN00626,23,Cloud,Theoretical,4.9,Skill Enhancement,Intermediate,2025-08-31
LRN00627,33,Programming,Visual,5.6,Skill Enhancement,Advanced,2025-02-26
LRN00628,23,Programming,Mixed,5.6,Career Switch,Intermediate,2024-01-19
LRN00629,24,Data Science,Hands-on,3.4,Personal Interest,Advanced,2025-04-10
LRN00630,36,Business,Visual,11.9,Career Switch,Beginner,2024-02-16
LRN00631,35,Data Science,Visual,2.6,Promotion,Intermediate,2025-07-26
LRN00632,26,Business,Mixed,8.3,Promotion,Beginner,2024-10-29
LRN00633,27,Business,Theoretical,3.6,Skill Enhancement,Beginner,2024-07-18
LRN00634,23,Design,Theoretical,7.8,Skill Enhancement,Advanced,2024-03-12
LRN00635,27,Cloud,Theoretical,2.9,Skill Enhancement,Advanced,2024-02-13
LRN00636,33,Data Science,Mixed,3.2,Personal Interest,Advanced,2024-12-11
LRN00637,18,Data Science,Hands-on,4.2,Career Switch,Advanced,2024-03-01
LRN00638,33,Design,Visual,1.0,Skill Enhancement,Advanced,2024-11-17
LRN00639,38,Cloud,Hands-on,6.4,Promotion,Beginner,2024-05-18
LRN00640,26,Data Science,Theoretical,4.8,Career Switch,Beginner,2024-10-18
LRN00641,18,Business,Hands-on,1.4,Career Switch,Advanced,2023-11-22
LRN00642,40,Business,Mixed,3.0,Career Switch,Intermediate,2025-03-08
LRN00643,18,Data Science,Visual,8.3,Personal Interest,Intermediate,2025-06-20
LRN00644,25,Programming,Visual,7.6,Certification,Intermediate,2024-08-05
LRN00645,18,Data Science,Mixed,3.9,Certification,Intermediate,2024-10-14
LRN00646,32,Cloud,Mixed,9.2,Career Switch,Intermediate,2024-02-25
LRN00647,19,Data Science,Hands-on,4.3,Certification,Beginner,2025-09-04
LRN00648,39,Business,Visual,2.4,Personal Interest,Intermediate,2025-06-23
LRN00649,35,Programming,Theoretical,13.8,Skill Enhancement,Intermediate,2025-04-27
LRN00650,25,Programming,Visual,1.3,Personal Interest,Advanced,2024-01-19
LRN00651,18,Design,Visual,1.2,Certification,Advanced,2025-04-23
LRN00652,37,Cloud,Mixed,6.0,Skill Enhancement,Beginner,2025-06-27
LRN00653,29,Business,Hands-on,6.8,Skill Enhancement,Intermediate,2024-03-20
LRN00654,39,Cloud,Theoretical,6.4,Personal Interest,Intermediate,2025-02-07
LRN00655,20,Programming,Visual,3.4,Certification,Advanced,2024-03-25
LRN00656,32,Design,Hands-on,4.1,Career Switch,Intermediate,2025-10-05
LRN00657,35,Design,Visual,6.9,Personal Interest,Advanced,2024-01-07
LRN00658,35,Cloud,Mixed,13.0,Skill Enhancement,Beginner,2025-09-12
LRN00659,33,Data Science,Hands-on,13.5,Personal Interest,Beginner,2024-06-11
LRN00660,35,Programming,Theoretical,3.2,Certification,Intermediate,2024-05-26
LRN00661,19,Business,Visual,8.2,Promotion,Intermediate,2025-04-02
LRN00662,21,Business,Mixed,8.0,Personal Interest,Beginner,2024-07-09
LRN00663,30,Programming,Theoretical,2.7,Certification,Intermediate,2025-01-12
LRN00664,25,Data Science,Theoretical,4.1,Promotion,Beginner,2025-05-07
LRN00665,18,Programming,Visual,4.7,Personal Interest,Advanced,2024-08-11
LRN00666,25,Cloud,Hands-on,2.5,Promotion,Beginner,2024-09-07
LRN00667,43,Cloud,Mixed,3.7,Promotion,Advanced,2024-06-09
LRN00668,21,Cloud,Hands-on,6.0,Certification,Intermediate,2025-07-20
LRN00669,35,Design,Visual,3.2,Promotion,Advanced,2024-04-27
LRN00670,28,Cloud,Hands-on,1.5,Career Switch,Intermediate,2025-04-14
LRN00671,36,Data Science,Hands-on,2.6,Skill Enhancement,Beginner,2025-08-26
LRN00672,25,Design,Visual,6.1,Certification,Beginner,2024-01-05
LRN00673,18,Data Science,Theoretical,5.7,Personal Interest,Advanced,2025-08-01
LRN00674,29,Programming,Mixed,6.6,Promotion,Intermediate,2024-03-22
LRN00675,29,Business,Theoretical,7.8,Promotion,Intermediate,2025-09-26
LRN00676,18,Cloud,Mixed,4.6,Career Switch,Intermediate,2025-05-08
LRN00677,28,Data Science,Visual,10.1,Career Switch,Advanced,2025-06-27
LRN00678,18,Business,Theoretical,2.9,Certification,Intermediate,2024-09-11
LRN00679,24,Design,Mixed,3.2,Career Switch,Beginner,2024-12-30
LRN00680,30,Design,Hands-on,8.8,Promotion,Advanced,2023-11-11
LRN00681,33,Design,Visual,2.1,Certification,Intermediate,2025-02-07
LRN00682,21,Programming,Mixed,10.1,Personal Interest,Intermediate,2025-09-18
LRN00683,29,Business,Theoretical,7.6,Personal Interest,Intermediate,2024-05-23
LRN00684,50,Programming,Hands-on,1.0,Skill Enhancement,Intermediate,2024-07-12
LRN00685,35,Business,Theoretical,2.0,Certification,Advanced,2023-12-17
LRN00686,23,Programming,Hands-on,3.5,Certification,Beginner,2024-08-18
LRN00687,25,Design,Theoretical,5.2,Career Switch,Advanced,2025-04-29
LRN00688,30,Programming,Theoretical,10.7,Promotion,Intermediate,2025-05-23
LRN00689,30,Cloud,Visual,3.1,Skill Enhancement,Beginner,2025-03-17
LRN00690,18,Programming,Hands-on,2.4,Career Switch,Intermediate,2025-08-18
LRN00691,37,Business,Hands-on,2.9,Personal Interest,Intermediate,2024-06-20
LRN00692,30,Cloud,Mixed,9.8,Career Switch,Advanced,2025-09-07
LRN00693,36,Data Science,Theoretical,5.3,Certification,Advanced,2024-07-09
LRN00694,36,Data Science,Mixed,2.3,Promotion,Advanced,2024-10-15
LRN00695,31,Business,Hands-on,4.0,Personal Interest,Advanced,2025-07-08
LRN00696,18,Business,Visual,4.2,Certification,Beginner,2025-04-25
LRN00697,31,Cloud,Hands-on,18.8,Skill Enhancement,Advanced,2025-02-20
LRN00698,22,Data Science,Theoretical,6.0,Certification,Advanced,2025-09-18
LRN00699,20,Programming,Mixed,7.8,Skill Enhancement,Advanced,2025-04-14
LRN00700,18,Cloud,Visual,5.3,Skill Enhancement,Intermediate,2024-01-25
LRN00701,23,Business,Theoretical,3.0,Certification,Intermediate,2024-10-16
LRN00702,19,Design,Theoretical,12.4,Skill Enhancement,Intermediate,2024-12-03
