employee_id,num_surveys_completed,avg_engagement,latest_engagement,engagement_trend,attrition_risk,did_leave
EMP00525,6,42.1,42.8,2.78,0.572,1
EMP00526,8,39.5,38.9,1.37,0.611,0
EMP00527,8,44.3,45.8,-1.53,0.542,1
EMP00528,7,49.7,50.9,-2.9,0.491,0
EMP00529,6,34.9,31.0,-5.84,0.89,1
EMP00530,4,27.6,22.7,-7.47,0.973,1
EMP00531,6,44.0,39.2,-1.86,0.608,0
EMP00532,8,38.6,31.6,-0.9,0.684,1
EMP00533,7,45.3,41.3,1.05,0.587,1
EMP00534,8,39.8,40.9,2.8,0.591,1
EMP00535,8,43.9,39.8,-2.33,0.602,0
EMP00536,7,37.3,43.1,-0.5,0.569,1
EMP00537,7,43.1,36.6,-5.4,0.834,1
EMP00538,7,29.3,29.2,0.7,0.708,1
EMP00539,8,39.2,40.5,-0.66,0.595,1
EMP00540,6,40.5,35.6,-3.98,0.644,0
EMP00541,8,44.1,43.1,0.93,0.569,1
EMP00542,8,42.7,53.3,1.64,0.467,0
EMP00543,6,42.6,43.3,2.16,0.567,1
EMP00544,7,42.2,33.0,-1.25,0.67,1
EMP00545,7,40.4,44.3,-1.18,0.557,1
EMP00546,7,52.1,47.2,1.67,0.528,1
EMP00547,8,36.1,36.2,-0.77,0.638,0
EMP00548,8,34.3,33.8,-0.43,0.662,1
EMP00549,7,40.9,40.7,-1.63,0.593,0
EMP00550,8,49.1,48.1,-2.36,0.519,1
EMP00551,6,46.3,42.2,-2.6,0.578,1
EMP00552,7,54.3,59.1,0.42,0.409,0
EMP00553,8,31.4,29.7,-0.91,0.703,0
EMP00554,8,39.8,40.7,1.69,0.593,1
EMP00555,7,31.6,33.4,2.58,0.666,0
EMP00556,7,49.1,47.3,-0.82,0.527,0
EMP00557,7,52.9,54.0,-2.17,0.46,0
EMP00558,8,45.4,47.4,0.09,0.526,0
EMP00559,8,27.3,22.6,-0.37,0.774,0
EMP00560,7,35.6,40.4,1.28,0.596,0
EMP00561,6,34.7,39.3,1.68,0.607,0
EMP00562,6,43.9,47.7,0.02,0.523,1
EMP00563,6,33.6,30.7,-2.34,0.693,1
EMP00564,7,38.6,34.0,-4.68,0.66,1
EMP00565,8,47.6,46.8,-1.76,0.532,1
EMP00566,7,35.6,40.2,1.68,0.598,0
EMP00567,7,46.3,48.9,-3.52,0.511,0
EMP00568,4,22.6,22.2,-1.37,0.778,0
EMP00569,6,38.1,42.3,3.42,0.577,1
EMP00570,8,35.1,40.6,1.36,0.594,1
EMP00571,7,47.0,48.7,-0.88,0.513,1
EMP00572,5,38.8,39.6,-2.75,0.604,0
EMP00573,8,53.5,59.0,2.26,0.41,1
EMP00574,8,40.7,46.6,2.71,0.534,0
EMP00575,8,42.2,48.2,-1.07,0.518,1
EMP00576,6,45.4,46.1,2.52,0.539,1
EMP00577,8,27.0,22.5,0.36,0.775,0
EMP00578,8,21.0,29.8,-1.66,0.702,1
EMP00579,8,37.3,37.1,0.86,0.629,0
EMP00580,6,49.7,45.0,-2.02,0.55,0
EMP00581,7,41.2,46.0,7.05,0.44,1
EMP00582,7,32.0,34.2,-0.62,0.658,0
EMP00583,7,38.6,37.0,1.57,0.63,1
EMP00584,7,50.0,54.3,1.12,0.457,1
EMP00585,7,36.9,41.7,-2.17,0.583,1
EMP00586,8,35.4,30.7,1.44,0.693,0
EMP00587,5,34.9,31.8,-2.9,0.682,0
EMP00588,7,22.4,27.7,3.52,0.723,1
EMP00589,5,47.2,54.7,6.48,0.353,0
EMP00590,8,46.0,48.9,0.79,0.511,1
EMP00591,7,52.2,59.6,3.5,0.404,0
EMP00592,7,35.4,30.7,-0.12,0.693,1
EMP00593,4,43.0,48.4,10.03,0.416,0
EMP00594,8,37.1,37.8,-2.07,0.622,0
EMP00595,6,38.2,38.8,1.38,0.612,0
EMP00596,6,37.4,37.6,5.02,0.524,1
EMP00597,6,36.5,33.6,-0.06,0.664,1
EMP00598,7,41.4,31.9,-1.57,0.681,1
EMP00599,5,21.7,19.1,-4.32,0.809,1
EMP00600,8,43.2,42.2,-4.23,0.578,1
EMP00601,7,26.6,28.5,0.72,0.715,1
EMP00602,6,37.8,41.5,3.62,0.585,0
EMP00603,7,39.5,42.4,2.4,0.576,1
EMP00604,8,36.0,31.9,-1.71,0.681,0
EMP00605,7,38.8,36.0,-0.13,0.64,0
EMP00606,6,30.7,35.8,1.78,0.642,1
EMP00607,6,46.5,48.8,2.24,0.512,0
EMP00608,8,37.4,37.9,0.43,0.621,1
EMP00609,8,35.6,29.1,-0.77,0.709,1
EMP00610,6,39.0,34.2,-0.82,0.658,0
EMP00611,6,47.2,48.8,3.48,0.512,0
EMP00612,6,47.2,40.0,-7.26,0.8,1
EMP00613,6,39.8,38.1,-6.12,0.819,1
EMP00614,7,36.3,42.4,4.55,0.576,0
EMP00615,7,44.6,45.5,-2.08,0.545,0
EMP00616,6,38.5,43.2,2.9,0.568,1
EMP00617,7,40.5,40.9,-0.88,0.591,0
EMP00618,6,41.1,45.6,-2.12,0.544,1
EMP00619,6,41.2,46.3,-0.96,0.537,1
EMP00620,6,40.0,36.7,1.5,0.633,0
EMP00621,6,33.0,38.3,5.22,0.517,1
EMP00622,6,45.9,41.1,-1.08,0.589,0
EMP00623,6,23.7,23.4,-3.0,0.766,1
EMP00624,6,18.2,15.8,-2.38,0.842,1
EMP00625,8,36.1,34.7,-2.14,0.653,1
EMP00626,8,25.5,22.2,-0.91,0.778,1
EMP00627,7,40.2,44.9,-0.55,0.551,0
EMP00628,6,37.5,38.9,-5.76,0.811,1
EMP00629,7,35.3,36.9,-2.48,0.631,1
EMP00630,8,39.8,39.3,-0.16,0.607,0
EMP00631,5,41.5,40.5,-0.5,0.595,1
EMP00632,8,36.0,32.3,-0.5,0.677,0
EMP00633,7,30.7,32.9,-0.63,0.671,0
EMP00634,7,39.7,38.5,-2.28,0.615,0
EMP00635,8,36.9,34.2,-3.37,0.658,0
EMP00636,7,39.4,32.8,-4.05,0.672,1
EMP00637,7,44.5,39.0,2.78,0.61,1
EMP00638,8,37.3,36.6,0.04,0.634,1
EMP00639,5,35.6,36.5,-1.15,0.635,1
EMP00640,3,48.3,48.3,-2.55,0.517,0
EMP00641,8,66.9,55.1,-4.56,0.449,0
EMP00642,7,46.1,49.0,-0.48,0.51,1
EMP00643,7,53.9,56.6,2.77,0.434,1
EMP00644,7,39.5,42.1,1.15,0.579,1
EMP00645,6,44.1,49.9,3.22,0.501,0
EMP00646,6,32.4,32.4,4.44,0.676,1
EMP00647,6,48.4,51.2,3.16,0.488,0
EMP00648,6,53.7,57.6,0.16,0.424,0
EMP00649,6,36.4,40.0,2.22,0.6,1
EMP00650,6,33.8,31.2,-3.14,0.688,0
EMP00651,7,34.3,43.2,4.17,0.568,1
EMP00652,6,43.5,46.9,-0.84,0.531,0
EMP00653,8,33.5,34.2,1.43,0.658,1
EMP00654,7,28.7,27.4,-1.48,0.726,0
EMP00655,8,38.7,44.2,1.13,0.558,0
EMP00656,5,39.3,36.2,2.25,0.638,0
EMP00657,7,51.8,48.1,-1.57,0.519,0
EMP00658,8,28.9,38.7,0.8,0.613,1
EMP00659,8,45.6,42.9,-1.21,0.571,1
EMP00660,7,37.2,45.4,0.37,0.546,0
EMP00661,8,24.4,23.3,-0.06,0.767,1
EMP00662,7,25.2,22.2,0.23,0.778,1
EMP00663,8,41.2,40.5,-1.31,0.595,0
EMP00664,8,35.7,31.6,-2.0,0.684,1
EMP00665,6,32.8,32.4,-0.74,0.676,0
EMP00666,8,28.2,25.8,-0.57,0.742,0
EMP00667,5,54.0,53.3,2.9,0.467,0
EMP00668,8,40.7,42.6,-3.01,0.574,0
EMP00669,7,47.0,46.6,0.95,0.534,0
EMP00670,8,29.5,25.2,-0.66,0.748,1
EMP00671,8,26.9,14.5,-2.63,0.855,1
EMP00672,8,25.8,18.7,0.69,0.813,1
EMP00673,6,43.0,43.7,1.02,0.563,0
EMP00674,7,35.2,30.6,-1.72,0.694,0
EMP00675,8,47.0,45.5,-0.23,0.545,1
EMP00676,7,47.9,51.2,1.75,0.488,0
EMP00677,8,36.3,39.3,1.89,0.607,1
EMP00678,7,39.4,37.7,-0.53,0.623,0
EMP00679,8,44.1,44.5,-1.7,0.555,0
EMP00680,8,31.3,32.3,1.53,0.677,1
EMP00681,5,37.0,32.7,-1.68,0.673,1
EMP00682,6,39.8,35.7,-2.02,0.643,1
EMP00683,6,42.1,40.5,-2.1,0.595,1
EMP00684,6,49.2,42.6,-2.12,0.574,0
EMP00685,8,41.2,46.4,0.33,0.536,1
EMP00686,7,29.1,25.7,2.63,0.743,0
EMP00687,6,31.8,34.1,-0.46,0.659,1
EMP00688,7,27.4,35.9,4.42,0.641,1
EMP00689,7,41.4,39.2,-2.08,0.608,0
EMP00690,7,40.0,39.9,0.05,0.601,0
EMP00691,5,40.7,35.4,-1.97,0.646,1
EMP00692,7,31.6,23.3,-1.2,0.767,1
EMP00693,6,42.4,45.3,3.44,0.547,0
EMP00694,7,34.0,29.9,-0.43,0.701,1
EMP00695,8,42.4,46.6,-0.44,0.534,0
EMP00696,8,41.5,37.3,-2.61,0.627,0
EMP00697,7,41.7,41.8,3.42,0.582,0
EMP00698,7,38.2,42.1,-1.17,0.579,1
EMP00699,8,41.0,42.4,-2.79,0.576,0
EMP00700,7,25.4,23.6,-0.9,0.764,1
EMP00701,5,34.6,34.3,-3.22,0.657,0
EMP00702,6,41.3,50.9,3.76,0.491,0
EMP00703,8,30.3,25.1,0.44,0.749,1
EMP00704,7,47.9,50.4,-0.23,0.496,0
EMP00705,7,35.6,30.8,-2.33,0.692,1
EMP00706,4,44.6,44.9,-5.93,0.751,1
EMP00707,5,49.2,48.3,-0.18,0.517,1
EMP00708,8,42.5,46.9,2.2,0.531,0
EMP00709,6,40.3,46.4,1.48,0.536,0
EMP00710,6,44.9,44.7,0.68,0.553,1
EMP00711,7,56.8,59.9,-1.9,0.401,1
EMP00712,7,40.1,44.8,4.72,0.552,0
EMP00713,7,38.8,40.6,1.78,0.594,0
EMP00714,7,37.3,38.8,0.13,0.612,0
EMP00715,5,35.4,38.1,2.58,0.619,1
EMP00716,4,31.2,25.3,-5.83,0.947,1
EMP00717,6,50.5,45.0,-3.5,0.55,0
EMP00718,8,57.8,56.3,1.03,0.437,1
EMP00719,7,42.9,48.3,2.2,0.517,1
EMP00720,7,59.3,58.2,1.62,0.418,1
EMP00721,7,38.5,32.2,-3.3,0.678,1
EMP00722,7,40.2,37.3,-3.12,0.627,0
EMP00723,8,45.8,48.3,0.07,0.517,1
EMP00724,6,30.9,24.9,-1.06,0.751,1
EMP00725,8,41.9,43.7,0.76,0.563,0
EMP00726,8,49.8,42.1,-2.41,0.579,1
EMP00727,8,35.8,36.4,0.7,0.636,1
EMP00728,6,38.8,39.3,2.8,0.607,1
EMP00729,7,35.0,35.0,-3.25,0.65,0
EMP00730,8,28.9,25.0,0.01,0.75,1
EMP00731,8,39.7,39.7,-2.2,0.603,1
EMP00732,6,23.3,15.3,1.04,0.847,1
EMP00733,7,36.5,42.2,-1.78,0.578,0
EMP00734,7,40.3,43.3,-0.08,0.567,0
EMP00735,7,40.9,40.4,2.35,0.596,1
EMP00736,8,33.4,35.4,1.53,0.646,0
EMP00737,5,44.6,38.5,-4.43,0.615,1
EMP00738,6,47.4,50.8,1.92,0.492,0
EMP00739,7,32.7,26.6,-5.37,0.934,1
EMP00740,8,46.5,47.5,-0.1,0.525,1
EMP00741,6,30.2,31.5,1.18,0.685,1
EMP00742,7,36.3,38.9,2.65,0.611,1
EMP00743,6,46.4,47.2,3.84,0.528,1
EMP00744,7,18.9,20.6,1.6,0.794,1
EMP00745,6,42.9,41.2,-0.48,0.588,1
EMP00746,7,29.8,35.7,3.93,0.643,1
EMP00747,8,38.9,32.6,-1.2,0.674,0
EMP00748,7,34.6,22.5,-4.63,0.775,0
EMP00749,7,44.7,41.6,-2.82,0.584,1
EMP00750,7,37.4,33.1,-1.95,0.669,1
EMP00751,7,30.0,31.3,-1.07,0.687,1
EMP00752,7,38.6,38.9,0.32,0.611,0
EMP00753,6,52.9,45.6,-1.46,0.544,0
EMP00754,8,34.2,34.0,-0.4,0.66,1
EMP00755,8,30.2,34.4,-2.94,0.656,0
EMP00756,7,33.7,34.2,0.62,0.658,1
EMP00757,8,52.3,56.2,2.99,0.438,0
EMP00758,7,29.1,32.4,-0.22,0.676,1
EMP00759,6,45.1,51.3,-3.34,0.487,0
EMP00760,8,52.0,47.4,-1.81,0.526,1
EMP00761,7,40.9,41.9,0.6,0.581,0
EMP00762,7,27.5,23.5,-2.97,0.765,1
EMP00763,7,41.5,36.4,-1.45,0.636,0
EMP00764,7,51.6,44.6,-1.0,0.554,1
EMP00765,7,48.2,42.4,-0.25,0.576,0
EMP00766,7,37.7,38.3,1.58,0.617,1
EMP00767,5,38.0,34.9,-5.0,0.851,0
EMP00768,8,38.4,43.1,-0.93,0.569,1
EMP00769,7,52.6,51.7,1.87,0.483,1
EMP00770,8,45.7,43.0,0.06,0.57,0
EMP00771,7,32.0,35.0,0.37,0.65,1
EMP00772,5,29.7,36.9,2.1,0.631,1
EMP00773,8,50.7,59.3,0.44,0.407,1
EMP00774,6,28.4,29.7,1.82,0.703,1
EMP00775,7,39.4,39.9,-0.48,0.601,0
EMP00776,5,53.6,52.8,0.73,0.472,0
EMP00777,4,27.9,34.9,10.7,0.551,0
EMP00778,5,51.3,52.1,-1.05,0.479,0
EMP00779,6,33.2,30.3,-4.48,0.697,0
EMP00780,7,43.4,44.4,-0.72,0.556,1
EMP00781,7,42.3,43.0,-0.08,0.57,0
EMP00782,6,37.3,34.3,-3.02,0.657,1
EMP00783,7,38.2,37.5,-1.33,0.625,0
EMP00784,8,43.0,42.5,0.57,0.575,0
EMP00785,6,55.8,53.7,3.02,0.463,1
EMP00786,8,24.8,28.1,1.5,0.719,0
EMP00787,8,35.3,37.2,0.21,0.628,1
EMP00788,5,38.1,38.4,4.25,0.616,0
EMP00789,7,43.2,45.0,-2.02,0.55,0
EMP00790,6,24.5,27.9,2.74,0.721,1
EMP00791,5,37.6,40.9,0.92,0.591,1
EMP00792,7,28.1,25.8,-0.9,0.742,1
EMP00793,6,51.5,59.1,6.26,0.309,0
EMP00794,7,43.7,52.8,3.7,0.472,1
EMP00795,8,39.8,42.3,2.14,0.577,1
EMP00796,7,35.3,44.7,4.4,0.553,0
EMP00797,5,42.4,42.1,-1.98,0.579,1
EMP00798,8,39.6,46.4,-1.01,0.536,1
EMP00799,6,26.3,25.7,0.88,0.743,1
EMP00800,6,31.8,30.2,-1.24,0.698,1
EMP00801,5,34.0,32.1,-3.6,0.679,1
EMP00802,7,58.5,48.4,2.43,0.516,1
EMP00803,7,31.5,31.8,1.0,0.682,1
EMP00804,6,36.8,32.6,-3.98,0.674,0
EMP00805,8,31.5,36.9,1.13,0.631,0
EMP00806,7,45.7,52.9,1.38,0.471,1
EMP00807,7,43.4,43.7,2.52,0.563,1
EMP00808,7,40.2,35.4,-1.85,0.646,1
EMP00809,7,38.1,34.8,0.48,0.652,1
EMP00810,6,36.7,37.8,-2.34,0.622,1
EMP00811,7,31.6,29.3,2.12,0.707,0
EMP00812,7,56.7,57.4,3.02,0.426,0
EMP00813,6,29.4,26.0,1.74,0.74,1
EMP00814,7,46.4,44.2,1.38,0.558,1
EMP00815,7,40.2,36.9,-3.65,0.631,1
EMP00816,7,54.1,50.0,-1.33,0.5,0
EMP00817,8,33.7,31.0,-1.36,0.69,1
EMP00818,6,47.8,53.3,2.32,0.467,0
EMP00819,5,43.3,38.3,-3.47,0.617,1
EMP00820,6,33.8,36.4,-3.74,0.636,0
EMP00821,7,46.8,43.2,-1.27,0.568,0
EMP00822,7,40.9,38.3,-1.2,0.617,0
EMP00823,7,37.7,42.4,0.28,0.576,1
EMP00824,8,31.9,32.5,0.03,0.675,1
EMP00825,8,35.9,38.8,-0.59,0.612,0
EMP00826,7,43.2,46.8,0.77,0.532,1
EMP00827,6,49.2,53.4,-2.3,0.466,1
EMP00828,7,35.1,29.2,-1.83,0.708,1
EMP00829,7,43.0,37.5,-2.3,0.625,1
EMP00830,7,41.3,39.7,-1.95,0.603,1
EMP00831,7,43.6,48.7,3.75,0.513,1
EMP00832,7,44.9,42.9,-5.57,0.771,1
EMP00833,7,55.9,54.9,0.27,0.451,0
EMP00834,6,40.7,42.8,0.4,0.572,0
EMP00835,4,49.3,48.5,0.4,0.515,0
EMP00836,6,30.9,29.1,-0.24,0.709,0
EMP00837,7,33.1,39.1,0.45,0.609,1
EMP00838,7,36.3,33.1,-1.03,0.669,0
EMP00839,6,43.0,44.0,-2.24,0.56,1
EMP00840,8,39.7,35.4,1.01,0.646,0
EMP00841,8,40.9,36.1,-2.44,0.639,1
EMP00842,7,36.1,35.9,0.78,0.641,1
EMP00843,7,32.1,29.6,0.13,0.704,1
EMP00844,5,35.9,40.0,-0.65,0.6,0
EMP00845,8,38.2,36.6,-1.54,0.634,1
EMP00846,7,42.5,45.7,-2.38,0.543,1
EMP00847,8,31.4,25.3,-2.83,0.747,1
EMP00848,8,38.9,38.8,0.0,0.612,0
EMP00849,7,36.1,36.6,1.18,0.634,0
EMP00850,5,42.2,39.0,-3.55,0.61,1
EMP00851,8,37.2,38.2,-1.24,0.618,0
EMP00852,8,42.1,39.6,-1.07,0.604,0
EMP00853,5,35.7,35.1,-2.28,0.649,1
EMP00854,5,47.2,41.1,-6.48,0.789,1
EMP00855,5,46.3,40.2,-2.5,0.598,1
EMP00856,7,48.2,52.1,-1.5,0.479,0
EMP00857,7,51.5,55.7,0.62,0.443,0
EMP00858,7,35.6,41.5,2.33,0.585,0
EMP00859,5,36.7,36.3,-0.1,0.637,0
EMP00860,7,47.8,47.8,-1.75,0.522,1
EMP00861,7,32.8,36.3,-0.58,0.637,1
EMP00862,7,28.5,25.0,-0.62,0.75,1
EMP00863,8,26.3,32.8,4.27,0.672,1
EMP00864,8,50.6,40.9,-1.87,0.591,1
EMP00865,7,47.8,51.4,1.13,0.486,0
EMP00866,8,36.6,38.2,1.21,0.618,1
EMP00867,7,33.7,30.2,-0.88,0.698,1
EMP00868,8,38.8,46.3,1.13,0.537,1
EMP00869,8,35.3,23.5,-3.04,0.765,0
EMP00870,6,48.6,46.7,-2.26,0.533,0
EMP00871,5,37.0,34.3,-4.9,0.657,1
EMP00872,7,37.8,36.8,-3.92,0.632,0
EMP00873,7,30.3,28.0,-1.33,0.72,1
EMP00874,8,39.6,42.8,0.23,0.572,0
EMP00875,8,46.6,36.7,-3.5,0.633,1
EMP00876,7,37.5,35.6,2.8,0.644,1
EMP00877,7,31.9,20.5,-3.0,0.795,1
EMP00878,7,42.9,42.8,-0.5,0.572,0
EMP00879,8,41.1,48.1,2.44,0.519,1
EMP00880,8,41.4,53.0,3.67,0.47,0
EMP00881,5,43.8,40.4,0.88,0.596,1
EMP00882,6,40.8,40.6,1.4,0.594,0
EMP00883,7,58.6,56.1,-0.17,0.439,1
EMP00884,7,32.0,28.4,-1.1,0.716,1
EMP00885,5,51.2,49.9,-2.35,0.501,1
EMP00886,6,39.9,45.4,5.18,0.446,1
EMP00887,8,46.5,41.6,0.5,0.584,0
EMP00888,6,40.0,36.6,-4.66,0.634,0
EMP00889,6,31.2,32.3,1.58,0.677,1
EMP00890,6,42.2,37.1,-4.56,0.629,1
EMP00891,8,34.6,38.2,1.53,0.618,1
EMP00892,7,41.5,42.3,-0.33,0.577,1
EMP00893,8,35.0,32.7,-2.56,0.673,0
EMP00894,4,34.1,36.4,1.2,0.636,1
EMP00895,8,38.2,42.0,0.3,0.58,1
EMP00896,8,39.2,36.5,0.36,0.635,0
EMP00897,5,51.3,51.6,0.3,0.484,1
EMP00898,7,38.9,45.6,5.38,0.444,0
EMP00899,8,28.2,19.6,-3.63,0.804,1
EMP00900,7,36.8,35.6,0.62,0.644,0
EMP00901,8,42.4,49.8,2.69,0.502,0
EMP00902,7,35.7,37.8,1.18,0.622,1
EMP00903,6,42.0,34.6,-0.86,0.654,1
EMP00904,8,46.1,46.4,-1.01,0.536,0
EMP00905,7,41.5,43.1,-1.47,0.569,1
EMP00906,6,51.7,41.3,-4.34,0.587,1
EMP00907,6,47.9,48.9,-3.66,0.511,0
EMP00908,7,28.8,31.8,-0.58,0.682,1
EMP00909,6,40.1,37.7,1.0,0.623,1
EMP00910,7,29.6,31.6,-0.85,0.684,1
EMP00911,7,34.4,35.4,3.28,0.646,0
EMP00912,6,46.4,52.2,3.02,0.478,1
EMP00913,4,29.7,30.5,2.43,0.695,1
EMP00914,7,50.9,55.1,1.35,0.449,0
EMP00915,7,31.7,35.4,1.87,0.646,0
EMP00916,7,39.3,40.3,-0.9,0.597,0
EMP00917,8,38.3,42.3,3.39,0.577,1
EMP00918,8,39.9,46.8,2.01,0.532,0
EMP00919,7,38.5,33.9,-0.63,0.661,1
EMP00920,7,54.1,57.4,-0.02,0.426,0
EMP00921,6,55.2,58.9,2.0,0.411,0
EMP00922,8,49.9,51.0,0.4,0.49,0
EMP00923,7,38.7,48.4,7.08,0.416,1
EMP00924,6,40.8,41.5,-1.16,0.585,1
EMP00925,8,14.4,14.6,-0.94,0.854,0
EMP00926,7,40.6,38.9,-1.78,0.611,0
EMP00927,8,40.9,38.2,-1.76,0.618,1
EMP00928,6,58.6,47.4,-6.88,0.726,1
EMP00929,7,37.7,28.1,-3.0,0.719,1
EMP00930,7,29.4,24.7,-0.43,0.753,1
EMP00931,6,48.9,54.3,-0.38,0.457,0
EMP00932,6,38.6,30.1,-4.46,0.699,0
EMP00933,8,47.3,46.6,0.06,0.534,0
EMP00934,6,37.7,32.6,1.26,0.674,0
EMP00935,7,51.3,46.9,1.67,0.531,0
EMP00936,7,39.8,42.9,1.67,0.571,0
EMP00937,6,42.9,38.4,-0.66,0.616,1
EMP00938,6,48.5,52.0,-1.62,0.48,0
EMP00939,8,34.5,34.8,2.97,0.652,1
EMP00940,6,29.8,23.3,-4.74,0.767,1
EMP00941,7,32.3,36.8,1.5,0.632,1
EMP00942,7,41.0,33.3,-4.75,0.667,0
EMP00943,7,32.7,32.6,-0.82,0.674,0
EMP00944,6,25.3,28.1,-1.7,0.719,1
EMP00945,5,45.7,44.4,3.5,0.556,1
EMP00946,7,47.5,49.0,-0.5,0.51,1
EMP00947,7,51.6,53.6,1.35,0.464,1
EMP00948,7,45.6,43.7,-2.57,0.563,1
EMP00949,5,43.1,45.2,6.1,0.448,0
EMP00950,8,30.3,30.5,-1.3,0.695,0
EMP00951,8,46.7,49.8,-0.16,0.502,1
EMP00952,8,38.2,41.6,0.23,0.584,1
EMP00953,4,39.4,41.8,-0.33,0.582,1
EMP00954,6,52.6,51.2,1.08,0.488,1
EMP00955,6,27.4,28.9,-1.18,0.711,1
EMP00956,6,44.0,39.6,-1.08,0.604,1
EMP00957,6,38.6,37.0,-2.92,0.63,1
EMP00958,8,34.1,27.9,-0.86,0.721,1
EMP00959,7,36.8,42.6,2.92,0.574,1
EMP00960,7,26.6,31.3,2.22,0.687,0
EMP00961,7,34.3,34.1,-0.23,0.659,1
EMP00962,6,51.6,55.9,0.74,0.441,0
EMP00963,7,46.7,47.1,0.33,0.529,0
EMP00964,7,36.5,31.2,-0.18,0.688,0
EMP00965,8,37.3,32.5,-2.0,0.675,1
EMP00966,8,36.1,36.1,-0.19,0.639,1
EMP00967,6,38.5,39.5,1.68,0.605,1
EMP00968,7,39.4,43.6,0.63,0.564,0
EMP00969,5,41.4,35.7,-0.17,0.643,1
EMP00970,8,29.3,33.9,2.54,0.661,1
EMP00971,8,40.5,37.1,-1.41,0.629,1
EMP00972,8,43.0,41.4,-0.69,0.586,0
EMP00973,7,46.6,47.1,-2.75,0.529,1
EMP00974,6,41.7,37.7,-2.64,0.623,1
EMP00975,8,43.3,48.6,0.3,0.514,1
EMP00976,8,38.4,36.0,-3.5,0.64,0
EMP00977,7,38.3,46.6,1.03,0.534,1
EMP00978,7,40.0,40.6,-4.3,0.594,1
EMP00979,6,32.8,36.5,2.44,0.635,0
EMP00980,8,27.8,26.7,2.41,0.733,1
EMP00981,7,46.5,50.3,0.1,0.497,0
EMP00982,6,36.5,41.5,4.9,0.585,1
EMP00983,6,36.3,36.1,4.14,0.639,0
EMP00984,6,50.3,52.9,-1.94,0.471,0
EMP00985,7,40.1,32.9,-1.8,0.671,1
EMP00986,5,37.1,38.5,-2.28,0.615,0
EMP00987,7,40.1,39.2,-2.48,0.608,1
EMP00988,6,32.8,28.6,-0.2,0.714,1
EMP00989,5,41.8,37.8,-0.68,0.622,1
EMP00990,6,50.4,42.3,-4.5,0.577,0
EMP00991,6,39.4,45.1,5.98,0.449,0
EMP00992,6,28.5,22.4,-2.84,0.776,1
EMP00993,4,22.3,19.3,-5.2,1.0,1
EMP00994,7,43.4,45.3,-1.33,0.547,0
EMP00995,7,47.8,42.7,-0.2,0.573,0
EMP00996,8,52.3,53.0,0.67,0.47,0
EMP00997,7,32.2,33.2,-1.6,0.668,0
EMP00998,7,42.7,36.9,-1.35,0.631,0
EMP00999,8,24.3,20.6,-1.17,0.794,1
EMP01000,6,49.7,46.8,2.14,0.532,1
EMP01001,7,49.3,45.6,-1.8,0.544,1
EMP01002,6,35.6,37.4,0.5,0.626,1
EMP01003,4,34.2,28.9,-5.07,0.911,1
EMP01004,6,20.5,17.3,-3.46,0.827,1
EMP01005,8,55.8,58.7,-0.43,0.413,1
EMP01006,7,32.4,29.9,-0.88,0.701,1
EMP01007,6,35.6,39.6,2.1,0.604,1
EMP01008,7,50.5,41.4,0.08,0.586,0
EMP01009,8,34.1,35.6,2.49,0.644,1
EMP01010,6,33.8,30.1,-3.12,0.699,1
EMP01011,7,40.4,35.6,-3.9,0.644,1
EMP01012,7,30.9,30.8,-1.65,0.692,1
EMP01013,8,43.2,47.6,0.19,0.524,0
EMP01014,6,42.4,42.1,0.64,0.579,0
EMP01015,7,34.2,29.8,-0.12,0.702,0
EMP01016,5,28.7,29.0,3.27,0.71,1
EMP01017,6,53.9,54.0,0.32,0.46,1
EMP01018,6,54.8,51.4,-1.32,0.486,1
EMP01019,6,33.5,34.7,0.54,0.653,0
EMP01020,6,27.9,35.7,0.82,0.643,0
EMP01021,8,36.4,35.3,-1.17,0.647,1
EMP01022,8,34.3,37.1,3.21,0.629,1
EMP01023,8,54.6,47.1,-0.86,0.529,0
EMP01024,7,40.1,40.5,-1.98,0.595,1
EMP01025,7,49.5,54.9,2.38,0.451,1
EMP01026,6,63.6,66.5,4.78,0.335,0
EMP01027,7,33.6,33.9,-1.77,0.661,0
EMP01028,5,27.4,33.5,1.68,0.665,0
EMP01029,6,43.9,39.8,-2.2,0.602,1
EMP01030,6,55.2,53.7,0.18,0.463,1
EMP01031,7,33.7,28.4,-2.38,0.716,0
EMP01032,8,42.1,50.0,1.83,0.5,0
EMP01033,7,47.3,48.6,1.1,0.514,0
EMP01034,5,24.2,25.3,-0.95,0.747,1
EMP01035,8,51.4,50.5,-1.84,0.495,0
EMP01036,5,42.9,46.3,-0.03,0.537,0
EMP01037,6,46.5,42.1,-4.0,0.579,0
EMP01038,8,41.8,48.2,1.14,0.518,1
EMP01039,6,56.2,55.6,-1.56,0.444,1
EMP01040,7,34.9,32.4,-2.03,0.676,1
EMP01041,8,34.6,33.8,3.59,0.662,1
EMP01042,7,35.4,41.6,-1.27,0.584,1
EMP01043,6,34.6,39.8,-0.06,0.602,1
EMP01044,6,42.7,41.3,-1.84,0.587,0
EMP01045,7,28.5,34.3,2.9,0.657,1
EMP01046,7,47.7,49.8,-1.15,0.502,0
EMP01047,7,33.4,40.4,-0.33,0.596,1
EMP01048,7,35.4,31.0,1.9,0.69,0
EMP01049,7,34.4,25.1,-3.37,0.749,0
