employee_id,age,gender,department,role,tenure_years,salary,avg_hours_per_week,overtime_hours_per_month,remote_work_type,manager_support_score,team_size,performance_rating,goals_completed_pct,sick_leave_days,vacation_days_taken,job_satisfaction,workload_stress,work_life_balance,career_growth_satisfaction,months_since_last_promotion,training_hours_last_year,burnout_score,burnout_high_risk
EMP00383,22,Male,Sales,Associate,1.79,59706,50.0,9.2,Full Remote,9.49,5,4.07,83.8,2,16.2,4.41,1.38,8.38,6.34,6.3,7.4,0.3518,0
EMP00384,30,Male,Sales,Senior,2.21,80693,53.0,11.6,On-site,8.73,6,2.75,63.6,4,12.5,2.89,5.88,5.04,5.98,14.0,10.6,0.6359,0
EMP00385,28,Female,Engineering,Senior Dev,2.36,96190,44.3,15.0,Full Remote,9.38,11,3.4,94.9,5,11.2,8.87,4.21,6.66,2.8,46.2,1.0,0.283,0
EMP00386,36,Male,Operations,Analyst,1.21,51244,43.7,3.0,Full Remote,7.61,7,2.37,80.8,4,14.5,4.72,4.72,8.03,5.45,64.1,7.5,0.4483,0
EMP00387,37,Female,Marketing,Senior,0.58,77303,48.9,5.4,Hybrid,4.44,6,4.69,70.6,2,14.0,7.48,4.76,6.13,5.02,19.8,7.1,0.5327,0
EMP00388,50,Male,HR,Senior Analyst,4.39,40000,35.0,13.3,Hybrid,7.11,9,2.94,51.7,5,16.5,7.6,4.92,4.95,4.03,3.8,3.7,0.4812,0
EMP00389,42,Female,Marketing,Manager,1.53,113313,36.1,10.1,On-site,9.43,12,2.89,61.3,4,13.0,5.99,4.79,7.19,5.59,19.1,1.2,0.2877,0
EMP00390,30,Male,Sales,Manager,2.11,41023,38.6,8.3,On-site,6.87,6,4.96,69.0,6,16.4,7.32,6.18,9.2,1.85,49.3,4.4,0.3425,0
EMP00391,27,Male,Engineering,Junior Dev,3.1,62129,41.4,2.6,On-site,6.97,16,3.02,50.7,2,16.2,7.22,5.46,6.37,4.2,2.9,4.3,0.3094,0
EMP00392,38,Male,Finance,Analyst,7.21,108459,38.0,16.6,On-site,7.44,3,2.74,58.6,3,16.7,5.6,2.54,4.12,6.12,9.5,2.3,0.3808,0
EMP00393,24,Other,Engineering,Tech Lead,3.69,69136,47.7,1.9,On-site,7.6,6,4.03,74.1,6,2.0,7.11,5.25,8.04,6.19,89.6,7.7,0.3705,0
EMP00394,49,Female,Engineering,Senior Dev,0.14,45065,45.7,10.1,Full Remote,9.46,9,3.49,25.3,6,9.1,5.77,3.96,8.37,5.01,4.1,11.1,0.4754,0
EMP00395,44,Male,Finance,Senior Analyst,5.47,92826,56.1,7.3,Hybrid,9.38,6,2.78,78.0,6,16.6,5.95,4.18,5.85,8.25,69.2,3.5,0.386,0
EMP00396,31,Male,Engineering,Junior Dev,13.63,92263,64.8,3.0,Hybrid,8.89,5,3.77,58.0,9,14.7,5.81,6.59,6.34,6.08,4.2,2.6,0.5462,0
EMP00397,22,Female,Sales,Associate,1.92,59170,35.0,7.9,Hybrid,8.51,7,4.0,60.0,2,12.9,6.9,4.45,5.48,5.75,27.1,10.6,0.4379,0
EMP00398,45,Male,Marketing,Senior,10.48,61876,46.2,6.1,Hybrid,6.86,8,4.19,58.1,4,14.9,6.25,3.87,6.59,7.77,20.6,7.4,0.2662,0
EMP00399,34,Male,Sales,Manager,2.38,64114,46.2,2.5,Hybrid,5.53,4,3.7,53.0,3,16.2,2.83,7.73,7.57,5.53,7.9,6.0,0.5845,0
EMP00400,44,Female,Finance,Manager,1.85,69824,44.9,8.0,Hybrid,8.72,7,4.21,77.9,10,11.5,9.08,4.62,8.29,6.17,31.1,1.9,0.4746,0
EMP00401,22,Female,HR,Senior Analyst,1.21,40000,36.3,12.6,Hybrid,6.01,6,4.18,63.9,5,4.4,4.46,3.13,4.46,7.71,0.4,9.9,0.3551,0
EMP00402,30,Male,HR,Senior Analyst,3.21,70464,37.7,7.1,Full Remote,6.7,10,3.13,81.7,2,22.5,6.44,3.95,5.44,4.73,18.7,16.7,0.4808,0
EMP00403,35,Male,Finance,Manager,0.78,119597,46.9,5.5,Hybrid,8.23,8,4.87,74.1,5,10.8,5.87,4.45,3.17,3.89,1.4,3.1,0.5243,0
EMP00404,35,Female,Sales,Senior,0.33,52600,37.4,13.0,On-site,7.71,4,4.02,78.1,7,12.9,3.74,8.54,3.75,4.65,19.7,7.1,0.6613,0
EMP00405,31,Male,Sales,Senior,0.1,60412,46.3,12.4,Hybrid,9.36,9,4.62,68.4,7,1.7,8.07,4.52,6.16,6.87,24.7,8.3,0.2929,0
EMP00406,39,Male,Sales,Director,1.04,45409,43.0,16.4,On-site,7.41,9,3.39,57.0,4,15.4,3.87,4.0,6.71,5.98,42.8,2.3,0.3882,0
EMP00407,26,Female,Sales,Manager,1.51,90304,46.1,3.1,On-site,6.99,6,4.18,68.0,6,7.8,5.32,6.32,8.73,5.37,16.9,5.7,0.3971,0
EMP00408,33,Female,Customer Support,Manager,2.41,105079,37.4,6.8,Hybrid,6.67,7,3.72,63.6,1,10.1,5.04,7.83,6.2,4.83,5.3,12.8,0.4663,0
EMP00409,35,Male,Operations,Analyst,1.04,104507,46.3,2.8,Full Remote,8.66,6,4.28,85.3,5,11.3,3.98,4.91,8.4,6.3,4.2,1.9,0.3667,0
EMP00410,39,Other,Engineering,Senior Dev,12.42,43799,38.0,6.7,Hybrid,6.95,6,3.16,53.3,2,18.7,6.94,4.73,7.21,4.78,30.4,7.1,0.4104,0
EMP00411,40,Female,Engineering,Tech Lead,1.03,87494,46.3,5.2,Hybrid,9.56,7,3.06,64.3,8,21.2,6.74,1.52,7.4,4.33,95.0,2.2,0.1642,0
EMP00412,26,Male,Engineering,Junior Dev,1.74,110843,55.7,12.9,Hybrid,8.63,6,4.49,89.5,7,13.7,8.59,3.75,5.8,6.83,23.1,6.0,0.3892,0
EMP00413,22,Other,Engineering,Tech Lead,0.33,87741,47.1,18.5,Full Remote,5.0,13,3.69,89.9,1,15.1,7.71,4.96,5.73,6.65,77.2,7.6,0.5658,0
EMP00414,45,Male,Engineering,Junior Dev,0.91,86960,47.6,9.5,Hybrid,8.35,15,4.29,81.4,1,13.6,5.94,3.7,7.48,5.02,20.2,7.0,0.4535,0
EMP00415,37,Male,Marketing,Manager,0.15,63208,51.5,26.8,Full Remote,7.76,9,2.37,68.6,5,9.7,4.86,6.52,6.87,4.9,44.5,3.2,0.6951,0
EMP00416,29,Female,Operations,Senior Analyst,2.46,80502,35.0,3.5,On-site,6.58,15,2.86,65.2,3,3.7,5.44,5.17,5.59,4.09,0.5,6.6,0.471,0
EMP00417,47,Male,Finance,Analyst,4.17,105907,58.8,6.4,Hybrid,4.69,11,3.08,63.7,3,19.0,4.89,4.43,6.22,5.61,19.0,7.4,0.6487,0
EMP00418,35,Male,Engineering,Senior Dev,0.65,83205,36.6,8.8,Full Remote,5.04,7,4.54,77.5,1,13.9,5.9,5.93,5.31,5.5,49.9,8.3,0.4951,0
EMP00419,44,Male,Sales,Senior,1.38,43793,52.0,1.9,Full Remote,3.09,5,4.51,84.9,1,13.5,8.91,3.46,6.63,5.89,17.4,12.1,0.5129,0
EMP00420,35,Male,Marketing,Senior,0.1,63598,51.0,1.7,Hybrid,4.5,10,3.57,76.8,2,18.0,6.22,6.88,7.84,4.81,8.7,7.8,0.548,0
EMP00421,51,Female,Operations,Analyst,5.49,105231,37.8,12.8,Hybrid,6.23,8,3.88,74.8,3,6.7,6.34,2.31,7.66,6.95,85.0,3.7,0.4984,0
EMP00422,49,Female,Operations,Manager,4.54,83118,53.1,15.0,Hybrid,6.28,12,3.63,61.6,3,7.8,6.37,4.65,4.62,2.86,22.5,2.8,0.5673,0
EMP00423,33,Other,Customer Support,Senior Analyst,0.2,77976,49.0,20.6,Hybrid,9.3,4,2.7,77.8,3,12.6,7.13,5.52,2.8,3.45,5.8,2.3,0.389,0
EMP00424,42,Male,Marketing,Senior,1.36,61149,60.1,27.4,Hybrid,4.54,9,3.55,51.1,3,15.3,4.24,7.56,6.02,4.21,36.2,3.1,0.8275,1
EMP00425,40,Male,Finance,Analyst,9.32,104714,46.5,7.3,Hybrid,7.49,11,2.78,69.1,4,14.6,7.0,2.59,7.71,5.43,84.6,13.4,0.3225,0
EMP00426,45,Male,Engineering,Manager,1.49,116560,44.1,2.0,On-site,8.34,3,3.2,32.7,3,16.5,6.13,3.89,2.9,6.19,2.6,3.7,0.4195,0
EMP00427,27,Male,Marketing,Associate,2.24,106579,40.9,6.2,Hybrid,7.36,8,3.32,87.8,5,18.2,8.31,4.65,6.49,7.38,38.0,9.2,0.4439,0
EMP00428,40,Male,Engineering,Senior Dev,1.32,111064,35.0,7.7,Full Remote,5.53,8,4.82,53.7,4,9.0,4.44,5.05,7.94,3.38,11.6,7.2,0.4911,0
EMP00429,43,Female,Sales,Manager,2.72,66032,42.5,8.6,Full Remote,5.25,12,3.63,81.8,3,25.5,9.0,2.7,4.22,4.09,115.7,3.3,0.4879,0
EMP00430,22,Female,HR,Analyst,11.47,62495,42.8,7.5,Full Remote,7.31,11,3.17,56.3,4,8.7,6.98,2.34,7.55,4.58,29.9,4.0,0.2504,0
EMP00431,25,Other,Sales,Senior,17.98,71091,47.1,17.0,Hybrid,7.09,5,3.99,71.6,6,13.9,6.36,7.53,6.45,4.71,11.2,3.2,0.4714,0
EMP00432,22,Male,Engineering,Junior Dev,4.47,75964,35.0,8.1,Hybrid,6.36,6,2.97,62.1,5,11.9,5.25,3.62,4.51,4.52,3.7,6.2,0.4096,0
EMP00433,32,Female,Engineering,Tech Lead,1.55,110775,43.1,23.1,Full Remote,5.37,9,5.0,44.9,10,11.2,6.48,5.22,7.96,4.55,3.4,11.9,0.5218,0
EMP00434,40,Male,Engineering,Senior Dev,2.05,104147,49.6,15.0,On-site,6.39,6,3.84,63.6,4,22.1,7.47,5.62,7.27,8.15,13.9,2.6,0.5372,0
EMP00435,47,Male,Engineering,Tech Lead,1.32,88461,50.4,16.8,Hybrid,6.67,13,1.52,66.4,4,19.2,7.07,6.14,4.16,5.95,66.0,9.9,0.7789,1
EMP00436,35,Female,Engineering,Tech Lead,12.72,40000,35.0,15.5,Full Remote,5.45,8,2.86,79.4,3,13.2,8.56,4.96,6.39,4.81,13.8,4.2,0.4412,0
EMP00437,48,Female,Engineering,Senior Dev,3.69,40000,50.7,11.0,Full Remote,8.04,11,4.94,89.9,4,12.9,7.82,4.6,7.15,4.46,30.2,8.1,0.3609,0
EMP00438,23,Male,Engineering,Tech Lead,1.79,81011,43.0,5.7,Hybrid,7.29,5,3.62,48.5,5,1.2,7.55,2.89,5.54,8.62,3.9,9.8,0.2594,0
EMP00439,22,Male,Customer Support,Senior Analyst,0.1,97006,43.5,14.3,Full Remote,8.44,8,3.12,57.7,3,8.8,5.77,5.51,7.77,5.57,15.5,3.3,0.461,0
EMP00440,34,Male,Sales,Senior,2.2,73010,35.0,2.7,Full Remote,9.51,3,3.82,58.9,4,10.9,8.06,4.42,7.74,8.5,6.6,12.7,0.1524,0
EMP00441,38,Female,Engineering,Senior Dev,12.39,122872,56.9,1.5,Full Remote,7.65,11,2.23,45.8,1,9.8,6.35,6.76,9.64,7.97,5.3,5.3,0.3336,0
EMP00442,34,Male,Marketing,Director,2.22,47938,46.4,7.5,Hybrid,8.2,6,2.72,77.4,5,13.3,7.45,3.32,7.63,5.32,30.0,3.7,0.3316,0
EMP00443,22,Other,Operations,Analyst,0.6,44791,35.0,9.1,Full Remote,8.11,12,2.37,84.5,8,10.7,7.33,5.83,7.23,3.55,10.1,12.6,0.4889,0
EMP00444,34,Male,Finance,Analyst,0.1,58392,48.0,7.7,Full Remote,8.38,5,3.21,68.7,2,13.5,6.37,4.55,6.4,3.99,1.2,4.3,0.4034,0
EMP00445,24,Male,Sales,Senior,1.31,57442,47.8,16.8,On-site,6.91,8,4.79,59.1,2,12.5,7.07,3.98,6.78,4.87,20.3,27.2,0.3002,0
EMP00446,40,Female,Marketing,Senior,7.51,88157,54.8,4.9,Full Remote,7.37,5,3.98,72.1,2,15.4,6.66,7.09,5.18,8.76,24.8,1.1,0.4766,0
EMP00447,37,Female,Finance,Analyst,17.01,64457,42.5,11.4,Hybrid,7.28,10,3.88,46.8,3,13.5,9.65,4.93,5.3,3.54,0.6,3.5,0.4703,0
EMP00448,27,Male,Finance,Senior Analyst,8.72,40000,45.1,5.8,Full Remote,4.51,9,2.97,48.1,1,20.9,8.1,6.68,4.94,4.37,3.7,1.5,0.6689,0
EMP00449,30,Female,Finance,Senior Analyst,3.92,97289,39.9,13.8,Full Remote,7.99,8,4.12,73.0,8,11.7,6.02,5.7,6.73,6.8,9.9,2.6,0.3097,0
EMP00450,26,Female,Operations,Senior Analyst,2.45,40000,49.8,8.2,Hybrid,8.51,13,2.88,57.2,1,18.0,4.36,3.01,6.06,2.46,15.4,7.8,0.5242,0
EMP00451,34,Female,Operations,Analyst,2.68,48219,38.7,5.9,Full Remote,7.87,12,3.34,73.9,5,5.9,7.46,1.86,4.35,4.93,0.8,8.8,0.3497,0
EMP00452,42,Female,HR,Senior Analyst,2.32,40000,37.9,13.6,Full Remote,6.89,12,4.1,50.8,2,8.6,4.19,3.29,8.12,5.39,0.6,8.9,0.399,0
EMP00453,27,Female,Sales,Manager,3.68,80178,44.5,1.6,Hybrid,6.38,6,3.44,69.3,2,5.5,6.95,3.9,6.86,4.42,9.0,14.0,0.4667,0
EMP00454,39,Female,HR,Manager,1.63,79651,35.2,9.6,Full Remote,7.97,10,4.23,86.0,4,21.4,8.29,6.35,8.63,6.59,0.1,1.6,0.4029,0
EMP00455,30,Female,Operations,Senior Analyst,3.32,122911,57.8,14.9,Hybrid,7.43,8,3.34,63.8,2,12.3,7.71,4.45,5.7,7.6,34.2,6.2,0.4361,0
EMP00456,28,Male,Engineering,Junior Dev,0.39,97845,60.4,8.7,Full Remote,9.56,9,4.59,70.3,2,3.7,6.57,6.43,7.1,7.58,24.6,6.8,0.5465,0
EMP00457,34,Male,Customer Support,Manager,0.93,111041,41.4,24.3,Full Remote,7.81,5,3.83,83.5,7,7.0,5.31,4.56,7.47,8.54,69.0,10.5,0.4642,0
EMP00458,26,Male,Engineering,Tech Lead,5.42,82215,35.0,5.6,Full Remote,7.96,5,2.79,67.9,9,14.0,7.3,2.72,5.88,4.88,6.6,13.3,0.2713,0
EMP00459,30,Male,Marketing,Associate,7.02,50576,47.7,4.0,On-site,7.27,4,3.07,74.8,5,9.6,5.93,5.8,4.09,4.55,5.6,13.8,0.5597,0
EMP00460,25,Male,Operations,Analyst,2.32,78202,41.1,5.5,Hybrid,4.32,6,3.32,58.5,5,8.6,6.36,3.97,7.56,5.55,6.6,12.0,0.57,0
EMP00461,50,Other,Engineering,Junior Dev,0.1,89810,54.4,9.4,Hybrid,6.74,7,4.27,92.7,0,5.5,7.12,4.5,6.71,6.15,17.6,3.6,0.487,0
EMP00462,35,Male,Marketing,Associate,7.85,92595,38.7,24.9,Hybrid,5.66,6,4.97,66.7,6,18.1,3.92,4.22,3.18,6.95,12.8,4.1,0.7256,1
EMP00463,29,Male,Engineering,Junior Dev,3.63,63189,49.4,8.6,On-site,9.01,14,2.31,61.7,1,19.2,8.0,5.2,3.38,4.99,28.4,4.6,0.4884,0
EMP00464,36,Female,Sales,Director,1.6,87219,45.9,4.8,Hybrid,5.84,7,3.19,63.6,5,17.6,7.25,5.86,8.25,6.72,6.4,10.4,0.486,0
EMP00465,34,Male,Engineering,Senior Dev,2.74,51674,39.6,3.1,On-site,6.29,7,4.48,56.2,7,19.2,8.73,7.98,8.74,4.61,8.8,6.8,0.4567,0
EMP00466,33,Male,Sales,Senior,1.69,48918,46.9,19.1,Hybrid,7.31,8,3.46,59.6,3,13.5,7.45,5.78,7.04,2.7,27.3,4.2,0.6946,0
EMP00467,39,Male,Sales,Manager,1.88,47105,52.0,2.7,Hybrid,9.61,10,3.38,67.6,3,10.5,8.0,6.26,4.67,5.27,8.3,12.0,0.4089,0
EMP00468,41,Male,Customer Support,Senior Analyst,6.54,75615,45.7,2.4,On-site,8.12,13,3.96,66.0,4,1.9,6.7,4.93,5.42,5.61,11.2,9.6,0.3564,0
EMP00469,30,Male,Customer Support,Manager,0.53,45554,45.8,12.7,On-site,7.54,6,2.42,50.5,3,7.9,7.03,6.95,7.5,3.86,9.8,3.3,0.5352,0
EMP00470,30,Female,Engineering,Manager,0.33,64381,38.0,48.0,Full Remote,5.12,11,3.99,53.2,2,11.7,6.45,3.25,3.79,7.02,31.8,9.4,0.6195,0
EMP00471,32,Female,Finance,Analyst,0.1,97572,54.2,3.1,Hybrid,5.21,7,3.75,61.8,3,14.6,3.74,8.11,6.56,6.75,16.1,10.2,0.6119,0
EMP00472,22,Male,Engineering,Manager,1.13,49271,53.4,9.3,Hybrid,8.5,6,3.66,54.6,3,10.6,6.32,3.03,3.72,5.92,16.4,4.6,0.4861,0
EMP00473,22,Male,Engineering,Tech Lead,0.48,62392,41.7,9.0,Full Remote,9.18,10,4.36,57.8,6,11.7,3.92,3.29,6.54,5.44,27.0,2.4,0.5172,0
EMP00474,45,Male,Engineering,Junior Dev,0.75,76790,44.0,8.2,On-site,7.71,6,3.44,59.1,2,6.2,6.54,5.11,4.05,4.09,25.1,3.4,0.4006,0
EMP00475,48,Female,Customer Support,Senior Analyst,0.1,81172,56.3,10.8,Hybrid,7.9,5,3.53,56.9,4,19.5,5.53,4.45,5.11,7.55,14.4,3.5,0.4267,0
EMP00476,33,Male,Customer Support,Senior Analyst,0.77,62517,35.9,5.9,Hybrid,8.19,9,3.64,76.4,7,12.0,6.15,5.91,6.68,5.41,2.6,1.6,0.4699,0
EMP00477,39,Male,Engineering,Manager,1.21,94671,49.8,2.4,Full Remote,8.68,9,1.86,77.6,4,10.0,6.32,3.63,5.65,6.44,8.2,5.4,0.0298,0
EMP00478,37,Female,Engineering,Senior Dev,0.1,89761,40.5,2.8,Full Remote,8.45,8,4.34,94.8,4,5.2,6.81,4.54,6.6,5.56,0.7,16.6,0.4022,0
EMP00479,59,Male,Engineering,Senior Dev,2.81,103496,59.2,2.7,Full Remote,3.35,12,3.97,59.4,3,19.7,5.97,3.48,6.22,7.45,12.2,5.6,0.5095,0
EMP00480,43,Male,Marketing,Associate,2.52,72959,45.5,3.5,Full Remote,9.52,8,3.93,74.0,3,2.0,6.93,1.99,6.25,5.57,13.5,11.1,0.2389,0
EMP00481,33,Male,Marketing,Associate,0.31,62179,55.1,4.7,Hybrid,8.48,14,3.77,80.6,3,13.4,5.17,5.5,4.99,6.28,57.8,2.2,0.656,0
EMP00482,27,Female,Engineering,Junior Dev,2.71,57934,38.9,3.8,On-site,7.76,11,4.59,82.2,1,9.0,6.03,5.92,6.03,3.08,11.8,8.6,0.3911,0
EMP00483,22,Female,Operations,Senior Analyst,19.83,82675,35.0,8.7,Hybrid,8.67,10,3.67,65.9,3,11.8,6.31,3.22,9.36,7.22,4.2,7.0,0.3817,0
EMP00484,36,Female,Sales,Manager,8.67,65571,43.1,4.4,Full Remote,8.57,4,3.33,46.0,3,11.6,7.5,1.93,6.88,5.28,9.3,2.9,0.1609,0
EMP00485,28,Female,Customer Support,Analyst,0.1,60770,47.1,13.9,Full Remote,8.93,6,2.11,60.8,3,14.5,5.02,5.51,8.1,4.44,8.2,1.0,0.4556,0
EMP00486,23,Female,Finance,Senior Analyst,4.76,63792,40.9,2.1,Hybrid,9.18,10,2.48,65.6,1,12.1,6.32,3.79,4.85,3.91,40.1,2.0,0.3313,0
EMP00487,29,Other,Sales,Associate,1.31,57907,51.1,8.6,Hybrid,6.81,7,3.26,64.0,6,13.8,7.92,3.87,5.01,6.42,30.6,6.4,0.3744,0
EMP00488,26,Other,Operations,Analyst,0.2,79975,43.3,1.4,On-site,8.1,11,3.58,56.6,7,10.2,3.87,5.44,5.97,3.92,1.4,10.6,0.5209,0
EMP00489,48,Male,Operations,Senior Analyst,1.05,40000,35.0,2.8,On-site,8.31,11,3.03,84.2,3,10.6,8.21,5.78,6.37,7.94,6.5,10.0,0.282,0
EMP00490,42,Female,Sales,Associate,1.16,82575,49.4,12.6,On-site,7.51,9,3.32,85.2,5,16.4,7.4,7.09,6.92,5.15,10.9,1.6,0.5542,0
EMP00491,34,Male,Sales,Senior,2.22,91913,37.9,5.7,Full Remote,9.37,6,2.78,78.6,5,13.4,8.11,3.56,6.77,6.3,0.4,14.6,0.2904,0
EMP00492,46,Male,Customer Support,Analyst,3.25,60478,42.1,18.7,On-site,6.07,6,4.26,68.7,4,16.6,5.99,5.77,5.41,5.05,9.3,9.1,0.6063,0
EMP00493,35,Female,Engineering,Junior Dev,4.15,123050,57.4,23.4,Full Remote,6.18,8,3.27,57.9,5,8.1,6.17,4.28,4.76,5.98,42.9,5.3,0.7234,1
EMP00494,28,Male,Engineering,Senior Dev,0.85,75440,59.2,2.8,Hybrid,7.94,6,4.44,79.7,3,11.5,4.91,3.33,2.64,4.4,20.5,2.4,0.5137,0
EMP00495,47,Female,Marketing,Senior,1.16,40000,40.4,7.1,Hybrid,3.51,9,3.29,54.2,5,8.5,5.31,4.17,6.42,8.19,80.1,9.7,0.3596,0
EMP00496,39,Male,Operations,Analyst,1.11,67968,49.6,5.6,Hybrid,4.28,7,3.79,85.2,6,11.5,6.66,4.16,8.73,6.44,16.9,6.3,0.3413,0
EMP00497,26,Female,Operations,Senior Analyst,1.35,76566,40.6,10.2,Full Remote,6.62,4,3.87,60.9,5,7.3,6.1,3.67,9.46,4.26,24.1,20.1,0.4876,0
EMP00498,33,Female,Customer Support,Manager,20.0,86224,42.7,11.3,Hybrid,8.18,8,3.63,73.9,2,8.4,5.8,6.67,3.87,3.84,70.8,4.8,0.625,0
EMP00499,27,Female,Marketing,Manager,4.51,68564,40.2,12.4,Full Remote,9.54,5,2.62,80.6,2,15.9,5.92,7.27,7.72,6.62,20.9,6.9,0.3477,0
EMP00500,23,Male,Engineering,Junior Dev,11.07,49710,35.0,3.0,Full Remote,6.5,7,3.23,80.0,5,7.2,3.51,6.34,3.39,3.14,3.8,3.7,0.5452,0
EMP00501,42,Male,HR,Senior Analyst,3.54,47625,45.8,9.8,Hybrid,6.96,12,1.84,65.3,4,13.1,6.63,4.07,7.33,6.23,61.2,1.9,0.2804,0
EMP00502,50,Female,Operations,Senior Analyst,1.56,58660,47.3,13.2,On-site,4.92,5,4.81,74.2,5,18.2,7.37,3.93,7.47,4.81,5.2,11.1,0.5224,0
EMP00503,23,Male,Engineering,Junior Dev,1.48,61055,39.6,1.4,On-site,6.2,11,1.0,80.1,5,7.5,6.14,3.67,3.16,4.14,3.0,3.8,0.5282,0
EMP00504,39,Other,Engineering,Tech Lead,2.01,46625,53.7,12.7,Hybrid,8.86,15,4.17,75.9,1,16.4,8.34,6.52,7.12,5.38,67.4,7.4,0.6046,0
EMP00505,29,Female,Engineering,Manager,1.62,56679,41.5,9.2,Full Remote,9.12,9,3.59,71.7,6,8.1,5.61,6.04,7.12,3.94,8.2,4.7,0.5428,0
EMP00506,31,Male,HR,Manager,5.29,91486,39.9,4.6,Full Remote,8.52,7,2.11,65.7,4,10.8,5.3,4.26,4.72,4.13,22.6,4.7,0.3319,0
EMP00507,30,Male,Operations,Manager,1.88,116210,49.2,14.9,Full Remote,4.72,6,3.71,73.3,5,17.0,6.08,7.14,3.18,5.39,26.7,10.9,0.6763,0
EMP00508,28,Male,Finance,Senior Analyst,1.05,93886,35.0,7.1,On-site,7.24,14,2.61,76.4,7,6.6,6.93,3.97,4.54,6.65,7.4,22.3,0.4223,0
EMP00509,35,Female,Customer Support,Senior Analyst,4.47,107646,52.3,5.4,Hybrid,7.9,10,3.85,88.5,5,25.1,7.04,3.72,7.33,4.92,69.5,3.7,0.4916,0
EMP00510,28,Male,Engineering,Senior Dev,5.78,99352,41.8,2.6,On-site,6.13,10,3.45,68.5,7,11.6,7.38,2.29,7.39,7.99,56.3,1.9,0.3895,0
EMP00511,37,Male,Customer Support,Manager,1.64,95828,52.9,7.3,Hybrid,6.09,6,3.68,74.2,2,23.0,6.84,7.63,6.09,5.74,8.2,3.1,0.6221,0
EMP00512,34,Male,Operations,Senior Analyst,3.31,66555,55.3,4.6,Hybrid,9.12,6,3.2,75.2,2,20.5,7.58,4.56,4.45,6.17,30.9,5.7,0.36,0
EMP00513,33,Female,Sales,Associate,0.18,78522,50.1,6.5,On-site,7.96,5,4.56,90.7,4,13.7,6.06,6.17,6.34,6.49,35.9,7.9,0.3577,0
EMP00514,27,Male,Customer Support,Analyst,2.26,64484,38.5,31.7,Full Remote,6.9,7,2.69,88.0,8,5.2,8.86,6.01,5.14,8.19,9.7,2.6,0.5425,0
EMP00515,30,Male,Sales,Manager,0.14,69522,35.0,8.1,Hybrid,7.78,12,2.96,71.4,4,15.5,6.28,4.36,5.46,5.24,19.9,6.1,0.6959,0
EMP00516,41,Female,Operations,Analyst,0.1,76704,35.0,18.3,On-site,7.97,10,3.36,53.2,8,6.8,9.17,7.82,4.51,6.97,45.9,4.7,0.5335,0
EMP00517,39,Female,Operations,Senior Analyst,2.85,92839,53.8,7.9,Hybrid,4.92,3,3.42,65.9,7,12.1,5.76,5.66,6.39,5.46,7.7,3.2,0.4028,0
EMP00518,27,Female,Operations,Manager,1.08,85583,43.9,5.3,Full Remote,8.52,6,2.59,66.8,4,11.9,8.06,4.82,5.33,2.65,24.3,1.7,0.331,0
EMP00519,35,Male,Marketing,Manager,4.07,70954,40.2,4.9,Full Remote,8.98,14,1.9,62.6,3,11.5,5.51,3.66,6.7,7.08,15.0,3.2,0.3423,0
EMP00520,41,Male,Engineering,Manager,6.79,76388,43.9,3.6,On-site,6.16,8,3.78,40.0,3,11.3,7.3,8.02,8.9,6.31,8.0,2.3,0.4356,0
EMP00521,22,Female,Marketing,Senior,0.45,85836,53.6,3.3,Full Remote,6.32,3,3.76,82.4,3,9.1,8.71,3.15,3.39,6.69,13.6,1.5,0.4464,0
EMP00522,39,Male,Sales,Associate,3.87,91684,51.2,16.3,On-site,7.02,10,4.86,90.1,3,8.3,5.8,5.48,4.3,6.16,59.3,10.4,0.5697,0
EMP00523,29,Female,Operations,Manager,2.17,40000,48.5,10.7,Full Remote,6.47,10,4.5,72.9,5,9.3,6.07,6.17,8.12,5.93,28.7,10.1,0.3891,0
EMP00524,39,Female,Operations,Analyst,0.36,48065,50.1,3.8,Hybrid,9.68,4,3.55,41.3,5,17.3,6.85,4.52,4.25,5.96,37.4,3.5,0.2616,0
EMP00525,28,Male,Customer Support,Analyst,3.16,102682,46.4,10.4,Hybrid,8.01,5,2.96,83.3,2,5.3,6.29,4.28,8.13,3.87,99.2,8.1,0.2438,0
EMP00526,22,Female,Engineering,Senior Dev,2.82,73478,47.4,10.6,Hybrid,8.99,9,4.4,54.8,4,8.7,6.51,5.48,7.83,6.59,2.1,2.8,0.2446,0
EMP00527,22,Female,Operations,Analyst,2.17,64398,46.8,4.3,Hybrid,7.59,11,2.82,81.1,1,22.0,8.17,3.15,2.45,4.32,118.4,4.3,0.3639,0
EMP00528,35,Male,Customer Support,Analyst,7.83,68412,45.0,19.0,On-site,8.57,9,4.21,68.1,6,11.0,8.48,5.59,6.27,8.2,7.6,1.4,0.3044,0
EMP00529,37,Female,Operations,Analyst,2.21,68407,51.0,8.1,Hybrid,7.7,8,2.35,80.2,0,15.4,7.66,4.55,6.46,5.71,2.6,2.9,0.2881,0
EMP00530,27,Male,Engineering,Senior Dev,13.97,88948,47.9,5.8,On-site,8.61,9,5.0,65.1,4,8.1,5.59,7.36,5.31,7.16,7.1,1.9,0.5436,0
EMP00531,40,Male,Engineering,Tech Lead,2.14,47299,38.0,0.4,Full Remote,7.24,11,2.65,76.1,6,5.7,8.1,6.03,7.74,5.62,28.6,1.5,0.3577,0
